pmo,port_type,cargo_type,movement_type,service_area,month,year,month_year,Quarter_year, volume_metrictons 
pmo cip,cpa port,Bulk,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Breakbulk,inbound,domestic,january,2022,Jan-22,Q1_2022,"4,348.48"
pmo cip,cpa port,Containerized,inbound,domestic,january,2022,Jan-22,Q1_2022,"14,997.50"
pmo cip,cpa port,Rolling,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Bulk,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Breakbulk,outbound,domestic,january,2022,Jan-22,Q1_2022,832.97
pmo cip,cpa port,Containerized,outbound,domestic,january,2022,Jan-22,Q1_2022,"2,975.00"
pmo cip,cpa port,Rolling,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Bulk,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Breakbulk,import,foreign,january,2022,Jan-22,Q1_2022,"8,100.00"
pmo cip,cpa port,Containerized,import,foreign,january,2022,Jan-22,Q1_2022,"364,140.00"
pmo cip,cpa port,Rolling,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Bulk,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Breakbulk,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Containerized,export,foreign,january,2022,Jan-22,Q1_2022,"62,615.00"
pmo cip,cpa port,Rolling,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Bulk,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Breakbulk,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Containerized,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Rolling,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Bulk,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Breakbulk,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Containerized,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Rolling,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Bulk,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Breakbulk,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Containerized,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Rolling,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Bulk,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Breakbulk,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Containerized,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,lgu port,Rolling,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Bulk,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Breakbulk,inbound,domestic,january,2022,Jan-22,Q1_2022,"20,634.33"
pmo cip,private port,Containerized,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Rolling,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Bulk,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Breakbulk,outbound,domestic,january,2022,Jan-22,Q1_2022,"1,055.36"
pmo cip,private port,Containerized,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Rolling,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Bulk,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Breakbulk,import,foreign,january,2022,Jan-22,Q1_2022,"43,869.38"
pmo cip,private port,Containerized,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Rolling,import,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Bulk,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Breakbulk,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Containerized,export,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,private port,Rolling,export,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Bulk,inbound,domestic,january,2022,Jan-22,Q1_2022,"1,000.00"
pmo pier 4,cpa port,Breakbulk,inbound,domestic,january,2022,Jan-22,Q1_2022,"27,025.54"
pmo pier 4,cpa port,Containerized,inbound,domestic,january,2022,Jan-22,Q1_2022,"199,832.50"
pmo pier 4,cpa port,Rolling,inbound,domestic,january,2022,Jan-22,Q1_2022,"148,505.25"
pmo pier 4,cpa port,Bulk,outbound,domestic,january,2022,Jan-22,Q1_2022,900
pmo pier 4,cpa port,Breakbulk,outbound,domestic,january,2022,Jan-22,Q1_2022,"55,243.28"
pmo pier 4,cpa port,Containerized,outbound,domestic,january,2022,Jan-22,Q1_2022,"119,918.75"
pmo pier 4,cpa port,Rolling,outbound,domestic,january,2022,Jan-22,Q1_2022,"139,713.75"
pmo pier 3,cpa port,Bulk,inbound,domestic,january,2022,Jan-22,Q1_2022,"24,447.45"
pmo pier 3,cpa port,Breakbulk,inbound,domestic,january,2022,Jan-22,Q1_2022,"1,162.69"
pmo pier 3,cpa port,Containerized,inbound,domestic,january,2022,Jan-22,Q1_2022,"3,395.00"
pmo pier 3,cpa port,Rolling,inbound,domestic,january,2022,Jan-22,Q1_2022,"44,498.75"
pmo pier 3,cpa port,Bulk,outbound,domestic,january,2022,Jan-22,Q1_2022,"2,500.12"
pmo pier 3,cpa port,Breakbulk,outbound,domestic,january,2022,Jan-22,Q1_2022,"10,929.60"
pmo pier 3,cpa port,Containerized,outbound,domestic,january,2022,Jan-22,Q1_2022,"4,173.75"
pmo pier 3,cpa port,Rolling,outbound,domestic,january,2022,Jan-22,Q1_2022,"44,503.75"
pmo pier 3,cpa port,Bulk,import,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Breakbulk,import,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Containerized,import,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Rolling,import,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Bulk,export,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Breakbulk,export,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Containerized,export,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 1,cpa port,Bulk,Inbound,Domestic,january,2022,Jan-22,Q1_2022,"13,757.99"
pmo pier 1,cpa port,Breakbulk,Inbound,Domestic,january,2022,Jan-22,Q1_2022,"35,579.86"
pmo pier 1,cpa port,Containerized,Inbound,Domestic,january,2022,Jan-22,Q1_2022,"4,191.25"
pmo pier 1,cpa port,Rolling,Inbound,Domestic,january,2022,Jan-22,Q1_2022,"25,709.50"
pmo pier 1,cpa port,Bulk,Outbound,Domestic,january,2022,Jan-22,Q1_2022,"6,289.46"
pmo pier 1,cpa port,Breakbulk,Outbound,Domestic,january,2022,Jan-22,Q1_2022,"82,540.63"
pmo pier 1,cpa port,Containerized,Outbound,Domestic,january,2022,Jan-22,Q1_2022,"12,591.25"
pmo pier 1,cpa port,Rolling,Outbound,Domestic,january,2022,Jan-22,Q1_2022,"37,080.25"
pmo pier 1,cpa port,Bulk,Import,Foreign,january,2022,Jan-22,Q1_2022,"19,977.78"
pmo pier 1,Private port,Bulk,Inbound,Domestic,january,2022,Jan-22,Q1_2022,"3,676.78"
pmo pier 1,Private port,Containerized,Inbound,Domestic,january,2022,Jan-22,Q1_2022,"50,645.00"
pmo pier 1,Private port,Rolling,Inbound,Domestic,january,2022,Jan-22,Q1_2022,660
pmo pier 1,Private port,Bulk,Outbound,Domestic,january,2022,Jan-22,Q1_2022,"6,707.84"
pmo pier 1,Private port,Containerized,Outbound,Domestic,january,2022,Jan-22,Q1_2022,"6,930.00"
pmo mandaue,private port,Bulk,inbound,domestic,january,2022,Jan-22,Q1_2022,"93,704.73"
pmo mandaue,private port,Breakbulk,inbound,domestic,january,2022,Jan-22,Q1_2022,"37,189.86"
pmo mandaue,private port,Containerized,inbound,domestic,january,2022,Jan-22,Q1_2022,"30,537.50"
pmo mandaue,private port,Rolling,inbound,domestic,january,2022,Jan-22,Q1_2022,"111,638.00"
pmo mandaue,private port,Bulk,outbound,domestic,january,2022,Jan-22,Q1_2022,10
pmo mandaue,private port,Breakbulk,outbound,domestic,january,2022,Jan-22,Q1_2022,"31,410.24"
pmo mandaue,private port,Containerized,outbound,domestic,january,2022,Jan-22,Q1_2022,"23,073.75"
pmo mandaue,private port,Rolling,outbound,domestic,january,2022,Jan-22,Q1_2022,"117,594.50"
pmo mandaue,private port,Bulk,import,foreign,january,2022,Jan-22,Q1_2022,"117,691.85"
pmo mandaue,private port,Breakbulk,import,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Containerized,import,foreign,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Rolling,import,foreign,january,2022,Jan-22,Q1_2022,
