pmo,port_type,container_type,movemnet_type,service_area,month,year,month_year,quarter,volume_teus
pmo cip,cpa port,Fulls,inbound,domestic,january,2022,Jan-22,Q1_2022,857
pmo cip,cpa port,Empties,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Fulls,outbound,domestic,january,2022,Jan-22,Q1_2022,170
pmo cip,cpa port,Empties,outbound,domestic,january,2022,Jan-22,Q1_2022,536
pmo cip,cpa port,Fulls,import,foreign,january,2022,Jan-22,Q1_2022,20808
pmo cip,cpa port,Empties,import,foreign,january,2022,Jan-22,Q1_2022,1
pmo cip,cpa port,Fulls,export,foreign,january,2022,Jan-22,Q1_2022,3578
pmo cip,cpa port,Empties,export,foreign,january,2022,Jan-22,Q1_2022,13403
pmo pier 4,cpa port,Fulls,inbound,domestic,january,2022,Jan-22,Q1_2022,11419
pmo pier 4,cpa port,Empties,inbound,domestic,january,2022,Jan-22,Q1_2022,361
pmo pier 4,cpa port,Fulls,outbound,domestic,january,2022,Jan-22,Q1_2022,6852.5
pmo pier 4,cpa port,Empties,outbound,domestic,january,2022,Jan-22,Q1_2022,2841
pmo pier 3,cpa port,Fulls,inbound,domestic,january,2022,Jan-22,Q1_2022,194
pmo pier 3,cpa port,Empties,inbound,domestic,january,2022,Jan-22,Q1_2022,98
pmo pier 3,cpa port,Fulls,outbound,domestic,january,2022,Jan-22,Q1_2022,238.5
pmo pier 3,cpa port,Empties,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Fulls,import,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Empties,import,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Fulls,export,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Empties,export,foreign,january,2022,Jan-22,Q1_2022,
pmo pier 1,cpa port,Fulls,Inbound,Domestic,January,2022,Jan-22,Q1_2022,239.5
pmo pier 1,cpa port,Empties,Inbound,Domestic,January,2022,Jan-22,Q1_2022,387
