pmo,port_type,ship_type,movement_type,month,year,month_year,Quarter,number_passengers
pmo pier 4,cpa port,Conventional,disembarking,january,2022,Jan-22,Q1_2022,21
pmo pier 4,cpa port,Fastcraft,disembarking,january,2022,Jan-22,Q1_2022,0
pmo pier 4,cpa port,Motor Launch,disembarking,january,2022,Jan-22,Q1_2022,0
pmo pier 4,cpa port,Bay and River,disembarking,january,2022,Jan-22,Q1_2022,0
pmo pier 4,cpa port,Roro,disembarking,january,2022,Jan-22,Q1_2022,65152
pmo pier 4,cpa port,Yacht,disembarking,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Foreign Cruise,disembarking,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Conventional,embarking,january,2022,Jan-22,Q1_2022,15
pmo pier 4,cpa port,Fastcraft,embarking,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Motor Launch,embarking,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Bay and River,embarking,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Roro,embarking,january,2022,Jan-22,Q1_2022,43659
pmo pier 4,cpa port,Yacht,embarking,january,2022,Jan-22,Q1_2022,
pmo pier 4,cpa port,Foreign Cruise,embarking,january,2022,Jan-22,Q1_2022,
pmo pier 3,cpa port,Conventional,disembarking,january,2022,Jan-22,Q1_2022,1697
pmo pier 3,cpa port,Fastcraft,disembarking,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Motor Launch,disembarking,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Bay and River,disembarking,january,2022,Jan-22,Q1_2022,24477
pmo pier 3,cpa port,Roro,disembarking,january,2022,Jan-22,Q1_2022,16125
pmo pier 3,cpa port,Yacht,disembarking,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Foreign Cruise,disembarking,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Conventional,embarking,january,2022,Jan-22,Q1_2022,1470
pmo pier 3,cpa port,Fastcraft,embarking,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Motor Launch,embarking,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Bay and River,embarking,january,2022,Jan-22,Q1_2022,23797
pmo pier 3,cpa port,Roro,embarking,january,2022,Jan-22,Q1_2022,13016
pmo pier 3,cpa port,Yacht,embarking,january,2022,Jan-22,Q1_2022,0
pmo pier 3,cpa port,Foreign Cruise,embarking,january,2022,Jan-22,Q1_2022,0
pmo pier 1,cpa port,Fastcraft,disembarking,January,2022,Jan-22,Q1_2022,33072
pmo pier 1,cpa port,Roro,disembarking,January,2022,Jan-22,Q1_2022,36040
pmo pier 1,cpa port,Fastcraft,embarking,January,2022,Jan-22,Q1_2022,18033
pmo pier 1,cpa port,Roro,embarking,January,2022,Jan-22,Q1_2022,29035
pmo mandaue,private port,Conventional,disembarking,january,2022,Jan-22,Q1_2022,26
pmo mandaue,private port,Fastcraft,disembarking,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Motor Launch,disembarking,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Bay and River,disembarking,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,Roro,disembarking,january,2022,Jan-22,Q1_2022,305
pmo mandaue,private port,Yacht,disembarking,january,2022,Jan-22,Q1_2022,
