pmo,port_type,rolling_cargo_type,movement_type,service area,month,year,mont_year,Quarter,volume_units
pmo pier 4,cpa port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,2621
pmo pier 4,cpa port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,710
pmo pier 4,cpa port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,1869
pmo pier 4,cpa port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,81
pmo pier 4,cpa port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,454
pmo pier 4,cpa port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,56
pmo pier 4,cpa port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,1491
pmo pier 4,cpa port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,5
pmo pier 4,cpa port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,1199
pmo pier 4,cpa port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,725
pmo pier 4,cpa port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,1945
pmo pier 4,cpa port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,122
pmo pier 4,cpa port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,495
pmo pier 4,cpa port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,25
pmo pier 4,cpa port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,1299
pmo pier 4,cpa port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,24
pmo pier 3,cpa port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,1107
pmo pier 3,cpa port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,372
pmo pier 3,cpa port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,365
pmo pier 3,cpa port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,147
pmo pier 3,cpa port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,162
pmo pier 3,cpa port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,28
pmo pier 3,cpa port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,350
pmo pier 3,cpa port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,23
pmo pier 3,cpa port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,811
pmo pier 3,cpa port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,370
pmo pier 3,cpa port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,360
pmo pier 3,cpa port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,158
pmo pier 3,cpa port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,161
pmo pier 3,cpa port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,21
pmo pier 3,cpa port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,370
pmo pier 3,cpa port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,24
pmo pier 1,cpa port,Motor Cycle/ Motor Bike,Inbound,domestic,January,2022,Jan-22,Q1_2022,806
pmo pier 1,cpa port,4W  1100-2300,Inbound,domestic,January,2022,Jan-22,Q1_2022,114
pmo pier 1,cpa port,4W  2400-over,Inbound,domestic,January,2022,Jan-22,Q1_2022,357
pmo pier 1,cpa port,6W  4800-7500,Inbound,domestic,January,2022,Jan-22,Q1_2022,24
pmo pier 1,cpa port,6W  7600-15000,Inbound,domestic,January,2022,Jan-22,Q1_2022,55
pmo pier 1,cpa port,10W  26000-over,Inbound,domestic,January,2022,Jan-22,Q1_2022,260
pmo pier 1,cpa port,Motor Cycle/ Motor Bike,Outbound,domestic,January,2022,Jan-22,Q1_2022,741
pmo pier 1,cpa port,4W  1100-2300,Outbound,domestic,January,2022,Jan-22,Q1_2022,243
pmo pier 1,cpa port,4W  2400-over,Outbound,domestic,January,2022,Jan-22,Q1_2022,424
pmo pier 1,cpa port,6W  4800-7500,Outbound,domestic,January,2022,Jan-22,Q1_2022,36
pmo pier 1,cpa port,6W  7600-15000,Outbound,domestic,January,2022,Jan-22,Q1_2022,107
pmo pier 1,cpa port,8W-10W  20000-25000,Outbound,domestic,January,2022,Jan-22,Q1_2022,6
pmo pier 1,cpa port,10W  26000-over,Outbound,domestic,January,2022,Jan-22,Q1_2022,374
pmo pier 1,cpa port,Heavy Equipment,Outbound,domestic,January,2022,Jan-22,Q1_2022,1
pmo pier 1,private port,10W  26000-over,Inbound,domestic,January,2022,Jan-22,Q1_2022,3
pmo pier 1,private port,Heavy Equipment,Inbound,domestic,January,2022,Jan-22,Q1_2022,4
pmo mandaue,private port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,52
pmo mandaue,private port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,198
pmo mandaue,private port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,366
pmo mandaue,private port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,33
pmo mandaue,private port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,1573
pmo mandaue,private port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,13
pmo mandaue,private port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,54
pmo mandaue,private port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,197
pmo mandaue,private port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,private port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,344
pmo mandaue,private port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,23
pmo mandaue,private port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,1705
pmo mandaue,private port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,6
pmo mandaue,cpa port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,59
pmo mandaue,cpa port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,50
pmo mandaue,cpa port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,80
pmo mandaue,cpa port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,59
pmo mandaue,cpa port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,50
pmo mandaue,cpa port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,80
pmo mandaue,cpa port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,cpa port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,51
pmo mandaue,lgu port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,43
pmo mandaue,lgu port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,43
pmo mandaue,lgu port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,49
pmo mandaue,lgu port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,49
pmo mandaue,lgu port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,47
pmo mandaue,lgu port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,
