pmo,port_type,ship_type,movement_type,month,year,mont_year,Quarter,   count   
pmo cip,cpa port,Conventional Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Conventional Breakbulk,domestic,january,2022,Jan-22,Q1_2022,2
pmo cip,cpa port,Barge,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Container,domestic,january,2022,Jan-22,Q1_2022,3
pmo cip,cpa port,Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Fastcraft,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Motor Launch,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Bay and River,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Metro Ferry,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Fishing Boat,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Bulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Breakbulk,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Container,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Motor Tug,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Yacht,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Anchorage Roro,domestic,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Conventional Bulk,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Conventional Breakbulk,foreign,january,2022,Jan-22,Q1_2022,2
pmo cip,cpa port,Container,foreign,january,2022,Jan-22,Q1_2022,29
pmo cip,cpa port,Roro,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Motor Tug,foreign,january,2022,Jan-22,Q1_2022,
pmo cip,cpa port,Yacht,foreign,january,2022,Jan-22,Q1_2022,
