city,country,model,status,detail,source
Manila,PH,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Delhi,IN,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Delhi,IN,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Delhi,IN,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Delhi,IN,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Delhi,IN,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Delhi,IN,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Delhi,IN,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Dhaka,BD,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Dhaka,BD,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Dhaka,BD,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Dhaka,BD,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Dhaka,BD,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
