property,value,unit,source
cities,16,count,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
cities requested,16,count,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
models offered,7,count,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
baseline window,1991-2010,years,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
future window,2031-2050,years,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
city-model pairs used,111,count,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
city-model pairs unavailable,1,count,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
median warming,1.08,celsius,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
median spread between models,0.51,celsius,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
median spread as a share of warming,0.43,ratio,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
cities where the spread exceeds the warming,3,count,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
cities where every model warms,16,count,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
largest spread,1.54,celsius,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
smallest spread,0.28,celsius,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
hourly rate limit,1,flag,Open-Meteo meters by cost per hour; collection spans several hourly windows and every response is cached
direction is agreed,1,flag,every model warms every city that met the ensemble minimum
