city,country,latitude,longitude,model,baseline_mean_c,future_mean_c,warming_c,baseline_days_over_35_per_year,future_days_over_35_per_year,source
Manila,PH,14.6,120.98,CMCC_CM2_VHR4,26.767,27.721,0.954,0.7,7.2,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,14.6,120.98,FGOALS_f3_H,26.63,27.68,1.051,1.4,7.3,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,14.6,120.98,HiRAM_SIT_HR,26.811,27.84,1.028,13.9,26.6,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,14.6,120.98,MRI_AGCM3_2_S,26.8,27.715,0.914,14.9,20.1,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,14.6,120.98,EC_Earth3P_HR,26.729,27.743,1.014,5.5,13.0,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,14.6,120.98,MPI_ESM1_2_XR,27.337,27.547,0.21,18.7,17.4,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Manila,PH,14.6,120.98,NICAM16_8S,26.657,27.792,1.135,13.4,26.5,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,-6.21,106.85,CMCC_CM2_VHR4,26.273,27.293,1.02,0.0,0.1,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,-6.21,106.85,FGOALS_f3_H,26.275,27.157,0.882,0.0,0.2,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,-6.21,106.85,HiRAM_SIT_HR,26.312,27.201,0.889,0.0,0.0,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,-6.21,106.85,MRI_AGCM3_2_S,26.334,27.262,0.928,0.7,3.7,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,-6.21,106.85,EC_Earth3P_HR,26.253,27.409,1.155,0.5,2.4,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
