bidding_zone,country,timestamp_utc,price,unit,source
DE-LU,Germany,2024-12-31 23:00,2.16,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 00:00,1.6,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 01:00,0.0,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 02:00,-0.01,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 03:00,-0.01,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 04:00,-0.06,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 05:00,-0.09,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 06:00,-0.01,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 07:00,-0.01,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 08:00,-0.04,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 09:00,-0.03,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-01 10:00,-0.1,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
