property,value,unit,source
exchanges,1323,count,"PeeringDB, peeringdb.com/api"
facilities,5861,count,"PeeringDB, peeringdb.com/api"
network presences in facilities,61713,count,"PeeringDB, peeringdb.com/api"
networks at exchanges,56736,count,"PeeringDB, peeringdb.com/api"
empty exchanges,93,count,"PeeringDB, peeringdb.com/api"
empty exchanges,7.03,percent,"PeeringDB, peeringdb.com/api"
single-member exchanges,69,count,"PeeringDB, peeringdb.com/api"
empty or single-member exchanges,12.24,percent,"PeeringDB, peeringdb.com/api"
registry gaps excluded from the empty count,4,count,"PeeringDB, peeringdb.com/api"
median networks per exchange,12,count,"PeeringDB, peeringdb.com/api"
largest exchange,1860,networks,"PeeringDB, peeringdb.com/api"
share of exchange presences at the twenty largest,22.64,percent,"PeeringDB, peeringdb.com/api"
countries or territories with at least one exchange,171,count,"PeeringDB, peeringdb.com/api"
exchanges publishing a member list,395,count,"PeeringDB, peeringdb.com/api"
median gap between the two counts,3,networks,operator net_count vs imported ixf_net_count
submarine cable landing points,1925,count,"TeleGeography Submarine Cable Map, submarinecablemap.com"
submarine cables,728,count,"TeleGeography Submarine Cable Map, submarinecablemap.com"
self-reported registry,1,flag,PeeringDB is maintained by network operators about themselves; absence is not proof of absence
