fac_id,name,city,country,continent,net_count,ix_count,carrier_count,latitude,longitude,source
1,Equinix DC1-DC15 DC21-DC22 - Ashburn,Ashburn,US,North America,516,8,14,39.016363,-77.459023,"PeeringDB, peeringdb.com/api"
2,Digital Realty SFO (200 Paul),San Francisco,US,North America,44,2,2,37.723407,-122.397923,"PeeringDB, peeringdb.com/api"
4,Equinix DA1 - Dallas,Dallas,US,North America,168,5,8,32.800955,-96.81955,"PeeringDB, peeringdb.com/api"
5,Equinix SV8 - Silicon Valley  Palo Alto,Palo Alto,US,North America,66,4,2,37.445896,-122.160775,"PeeringDB, peeringdb.com/api"
6,Equinix SV1/SV5/SV10 - Silicon Valley  San Jose,San Jose,US,North America,282,8,7,37.241767,-121.782967,"PeeringDB, peeringdb.com/api"
7,Equinix CH1/CH2/CH4 - Chicago,Chicago,US,North America,333,10,13,41.85365,-87.618342,"PeeringDB, peeringdb.com/api"
8,Equinix LA1 - Los Angeles,Los Angeles,US,North America,137,6,9,34.047501,-118.2573,"PeeringDB, peeringdb.com/api"
9,Equinix NY1 - New York  Newark,Newark,US,North America,39,2,5,40.736844,-74.173402,"PeeringDB, peeringdb.com/api"
10,Digital Realty NYC (60 Hudson),New York,US,North America,160,7,8,40.717723,-74.008299,"PeeringDB, peeringdb.com/api"
11,Equinix AT2/AT3 - Atlanta,Atlanta,US,North America,23,1,3,33.755456,-84.39153,"PeeringDB, peeringdb.com/api"
12,Equinix TR1 - Toronto,Toronto,CA,North America,45,5,1,43.644672,-79.384128,"PeeringDB, peeringdb.com/api"
15,Equinix MI1 - Miami  NOTA,Miami,US,North America,332,9,16,25.782648,-80.193157,"PeeringDB, peeringdb.com/api"
16,Digital Realty NYC (111 8th Ave),New York,US,North America,130,6,3,40.741469,-74.003387,"PeeringDB, peeringdb.com/api"
18,NIKHEF Amsterdam,Amsterdam,NL,Europe,485,29,41,52.356394,4.950837,"PeeringDB, peeringdb.com/api"
19,CoreSite - Los Angeles (LA1) One Wilshire,Los Angeles,US,North America,334,5,9,34.047942,-118.255564,"PeeringDB, peeringdb.com/api"
20,CoreSite - San Jose (SV1),San Jose,US,North America,55,3,4,37.334147,-121.891649,"PeeringDB, peeringdb.com/api"
21,FedConnect San Francisco,San Francisco,US,North America,0,0,0,37.783322,-122.392048,"PeeringDB, peeringdb.com/api"
22,JMA NAC Los Angeles,Los Angeles,US,North America,0,1,0,34.048428,-118.255186,"PeeringDB, peeringdb.com/api"
23,Digital Realty SFO (365 Main),San Francisco,US,North America,35,2,2,37.788669,-122.390509,"PeeringDB, peeringdb.com/api"
24,The Mission Street Center,San Francisco,US,North America,0,0,0,37.780351,-122.408954,"PeeringDB, peeringdb.com/api"
33,SVTIX San Jose,San Jose,US,North America,3,0,0,37.333765,-121.904828,"PeeringDB, peeringdb.com/api"
34,Telehouse - London (Docklands North),London,GB,Europe,495,13,19,,,"PeeringDB, peeringdb.com/api"
35,Digital Realty London LHR17,West Drayton,GB,Europe,15,0,1,51.482248,-0.460224,"PeeringDB, peeringdb.com/api"
