iso2,iso3,country,region,income_group,gni_per_capita_usd,year,works,diamond_works,gold_works,hybrid_works,bronze_works,green_works,closed_works,diamond_pct,gold_pct,hybrid_pct,bronze_pct,green_pct,closed_pct,apc_paid_works,apc_paid_pct,source
US,USA,United States,North America,High income,82910,2023,1292604,96421,253040,102384,110107,318409,412243,7.46,19.58,7.92,8.52,24.63,31.89,242295,18.74,"OpenAlex, api.openalex.org"
CN,CHN,China,East Asia & Pacific,Upper middle income,13660,2023,1135881,72995,284440,60827,50776,124189,542654,6.43,25.04,5.36,4.47,10.93,47.77,288414,25.39,"OpenAlex, api.openalex.org"
ID,IDN,Indonesia,East Asia & Pacific,Upper middle income,4920,2023,459858,292503,48432,66133,20359,10543,21888,63.61,10.53,14.38,4.43,2.29,4.76,38456,8.36,"OpenAlex, api.openalex.org"
IN,IND,India,South Asia,Lower middle income,2550,2023,426475,84131,51909,27684,25312,38088,199351,19.73,12.17,6.49,5.94,8.93,46.74,45062,10.57,"OpenAlex, api.openalex.org"
GB,GBR,United Kingdom,Europe & Central Asia,High income,49320,2023,371836,25834,85763,68395,30283,67373,94188,6.95,23.06,18.39,8.14,18.12,25.33,109503,29.45,"OpenAlex, api.openalex.org"
DE,DEU,Germany,Europe & Central Asia,High income,55090,2023,322797,16249,77046,52906,18798,54008,103790,5.03,23.87,16.39,5.82,16.73,32.15,90557,28.05,"OpenAlex, api.openalex.org"
FR,FRA,France,Europe & Central Asia,High income,45160,2023,284871,18059,43295,21878,16575,76725,108339,6.34,15.2,7.68,5.82,26.93,38.03,42824,15.03,"OpenAlex, api.openalex.org"
BR,BRA,Brazil,Latin America & Caribbean ,Upper middle income,9930,2023,259264,110494,46202,15925,14299,35187,37157,42.62,17.82,6.14,5.52,13.57,14.33,29974,11.56,"OpenAlex, api.openalex.org"
IT,ITA,Italy,Europe & Central Asia,High income,38640,2023,210181,15594,60713,30831,14764,33344,54935,7.42,28.89,14.67,7.02,15.86,26.14,72377,34.44,"OpenAlex, api.openalex.org"
JP,JPN,Japan,East Asia & Pacific,High income,37170,2023,201329,28772,45942,15881,15847,27559,67328,14.29,22.82,7.89,7.87,13.69,33.44,48008,23.85,"OpenAlex, api.openalex.org"
ES,ESP,Spain,Europe & Central Asia,High income,33550,2023,197216,36199,48012,27218,13329,35691,36767,18.36,24.34,13.8,6.76,18.1,18.64,56625,28.71,"OpenAlex, api.openalex.org"
