property,value,unit,source
works in the year analysed,10858444,works,"OpenAlex, api.openalex.org"
year analysed,2023,year,"OpenAlex, api.openalex.org"
first year,2014,year,"OpenAlex, api.openalex.org"
last year,2024,year,"OpenAlex, api.openalex.org"
countries,60,count,"OpenAlex, api.openalex.org"
"open access, any kind",6768188,works,"OpenAlex, api.openalex.org"
"open access, any kind",62.33,percent,"OpenAlex, api.openalex.org"
free to read and free to publish (diamond),1577668,works,"OpenAlex, api.openalex.org"
author-pays kinds (gold and hybrid),2480104,works,"OpenAlex, api.openalex.org"
revocable kind (bronze),590525,works,"OpenAlex, api.openalex.org"
DOAJ journals,23402,journals,"DOAJ, doaj.org/api"
DOAJ journals charging no author fee,14670,journals,"DOAJ, doaj.org/api"
DOAJ journals charging no author fee,62.69,percent,"DOAJ, doaj.org/api"
journals audited against DOAJ,348,count,DOAJ has_apc vs OpenAlex oa_status
fee-charging journals audited,258,count,"DOAJ, doaj.org/api"
fee-free journals audited,90,count,"DOAJ, doaj.org/api"
fee-charging journals labelled diamond,79,count,DOAJ has_apc vs OpenAlex oa_status
fee-charging journals labelled diamond,30.62,percent,DOAJ has_apc vs OpenAlex oa_status
"mislabel rate, fee in a hard currency",21.14,percent,DOAJ has_apc vs OpenAlex oa_status
"mislabel rate, fee in another currency",50.6,percent,DOAJ has_apc vs OpenAlex oa_status
hard-currency journals audited,175,count,"DOAJ, doaj.org/api"
other-currency journals audited,83,count,"DOAJ, doaj.org/api"
sampled journals absent from OpenAlex,3,count,"OpenAlex, api.openalex.org"
audit stopped by the daily allowance,1,flag,OpenAlex allows about 1000 requests a day anonymously
a work is counted once per author country,1,flag,multi-country papers appear in each country's total
