year,oa_status,works,pct_of_year,source
2014,diamond,407365,4.07,"OpenAlex, api.openalex.org"
2014,gold,337784,3.38,"OpenAlex, api.openalex.org"
2014,hybrid,270982,2.71,"OpenAlex, api.openalex.org"
2014,bronze,426481,4.26,"OpenAlex, api.openalex.org"
2014,green,1457634,14.57,"OpenAlex, api.openalex.org"
2014,closed,7102605,71.01,"OpenAlex, api.openalex.org"
2015,diamond,519826,5.09,"OpenAlex, api.openalex.org"
2015,gold,398691,3.91,"OpenAlex, api.openalex.org"
2015,hybrid,270697,2.65,"OpenAlex, api.openalex.org"
2015,bronze,420098,4.12,"OpenAlex, api.openalex.org"
2015,green,1638952,16.06,"OpenAlex, api.openalex.org"
2015,closed,6955520,68.17,"OpenAlex, api.openalex.org"
2016,diamond,623970,5.89,"OpenAlex, api.openalex.org"
2016,gold,470085,4.44,"OpenAlex, api.openalex.org"
2016,hybrid,312783,2.95,"OpenAlex, api.openalex.org"
2016,bronze,426045,4.02,"OpenAlex, api.openalex.org"
2016,green,1772521,16.74,"OpenAlex, api.openalex.org"
2016,closed,6980732,65.94,"OpenAlex, api.openalex.org"
2017,diamond,786325,7.53,"OpenAlex, api.openalex.org"
2017,gold,534394,5.12,"OpenAlex, api.openalex.org"
2017,hybrid,299946,2.87,"OpenAlex, api.openalex.org"
2017,bronze,425311,4.07,"OpenAlex, api.openalex.org"
2017,green,1759551,16.85,"OpenAlex, api.openalex.org"
2017,closed,6635727,63.55,"OpenAlex, api.openalex.org"
2018,diamond,980369,9.44,"OpenAlex, api.openalex.org"
2018,gold,635831,6.12,"OpenAlex, api.openalex.org"
2018,hybrid,348949,3.36,"OpenAlex, api.openalex.org"
2018,bronze,431597,4.16,"OpenAlex, api.openalex.org"
2018,green,1837850,17.7,"OpenAlex, api.openalex.org"
2018,closed,6148572,59.22,"OpenAlex, api.openalex.org"
2019,diamond,1155298,10.74,"OpenAlex, api.openalex.org"
2019,gold,792759,7.37,"OpenAlex, api.openalex.org"
2019,hybrid,351718,3.27,"OpenAlex, api.openalex.org"
2019,bronze,453054,4.21,"OpenAlex, api.openalex.org"
2019,green,1938381,18.02,"OpenAlex, api.openalex.org"
2019,closed,6064339,56.38,"OpenAlex, api.openalex.org"
2020,diamond,1325604,11.59,"OpenAlex, api.openalex.org"
2020,gold,1070363,9.36,"OpenAlex, api.openalex.org"
2020,hybrid,528378,4.62,"OpenAlex, api.openalex.org"
2020,bronze,478216,4.18,"OpenAlex, api.openalex.org"
2020,green,2263710,19.79,"OpenAlex, api.openalex.org"
2020,closed,5770027,50.45,"OpenAlex, api.openalex.org"
2021,diamond,1422222,13.24,"OpenAlex, api.openalex.org"
2021,gold,1227798,11.43,"OpenAlex, api.openalex.org"
2021,hybrid,523496,4.87,"OpenAlex, api.openalex.org"
2021,bronze,453781,4.22,"OpenAlex, api.openalex.org"
2021,green,2401980,22.36,"OpenAlex, api.openalex.org"
2021,closed,4714258,43.88,"OpenAlex, api.openalex.org"
2022,diamond,1431192,14.0,"OpenAlex, api.openalex.org"
2022,gold,1335602,13.06,"OpenAlex, api.openalex.org"
2022,hybrid,625895,6.12,"OpenAlex, api.openalex.org"
2022,bronze,437609,4.28,"OpenAlex, api.openalex.org"
2022,green,2471919,24.18,"OpenAlex, api.openalex.org"
2022,closed,3920764,38.35,"OpenAlex, api.openalex.org"
2023,diamond,1577668,14.53,"OpenAlex, api.openalex.org"
2023,gold,1728180,15.92,"OpenAlex, api.openalex.org"
2023,hybrid,751924,6.92,"OpenAlex, api.openalex.org"
2023,bronze,590525,5.44,"OpenAlex, api.openalex.org"
2023,green,2119891,19.52,"OpenAlex, api.openalex.org"
2023,closed,4090256,37.67,"OpenAlex, api.openalex.org"
2024,diamond,1696016,15.68,"OpenAlex, api.openalex.org"
2024,gold,1537057,14.21,"OpenAlex, api.openalex.org"
2024,hybrid,904155,8.36,"OpenAlex, api.openalex.org"
2024,bronze,517986,4.79,"OpenAlex, api.openalex.org"
2024,green,1905469,17.62,"OpenAlex, api.openalex.org"
2024,closed,4255415,39.34,"OpenAlex, api.openalex.org"
