property,value,unit,source
year,2022,year,"UN Comtrade, comtradeapi.un.org"
reporters read,52,count,"UN Comtrade, comtradeapi.un.org"
matched pairs,2600,count,"UN Comtrade, comtradeapi.un.org"
flow rows,21243,count,"UN Comtrade, comtradeapi.un.org"
"reported exports, these reporters",21425779631071,usd,"UN Comtrade, comtradeapi.un.org"
"reported imports, these reporters",22139778366675,usd,"UN Comtrade, comtradeapi.un.org"
"import minus export, these reporters",713998735604,usd,"UN Comtrade, comtradeapi.un.org"
"import minus export, these reporters",3.33,percent,"UN Comtrade, comtradeapi.un.org"
"matched pairs, exporter side",17774546087559,usd,"UN Comtrade, comtradeapi.un.org"
"matched pairs, importer side CIF",19293449046075,usd,"UN Comtrade, comtradeapi.un.org"
"matched pairs, gap CIF",1518902958516,usd,"UN Comtrade, comtradeapi.un.org"
"matched pairs, gap CIF",8.55,percent,"UN Comtrade, comtradeapi.un.org"
pairs with an importer FOB value,703,count,"UN Comtrade, comtradeapi.un.org"
"matched pairs, gap FOB",2.39,percent,"UN Comtrade, comtradeapi.un.org"
"median absolute gap, CIF",31.15,percent,"UN Comtrade, comtradeapi.un.org"
"median absolute gap, FOB",22.38,percent,"UN Comtrade, comtradeapi.un.org"
pairs disagreeing by more than a tenth,2089,count,"UN Comtrade, comtradeapi.un.org"
pairs disagreeing by more than a half,894,count,"UN Comtrade, comtradeapi.un.org"
valuation note,1,flag,"exports are FOB and imports CIF, so a positive gap is expected; the FOB columns are the comparison that removes it"
