reporter_code,reporter_iso,reporter,partner_code,partner_iso,partner,flow,year,primary_value_usd,fob_value_usd,cif_value_usd,source
842,USA,USA,4,AFG,Afghanistan,X,2022,21746805.0,21746805.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,8,ALB,Albania,X,2022,117843396.0,117843396.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,12,DZA,Algeria,X,2022,1200594478.0,1200594478.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,20,AND,Andorra,X,2022,3511455.0,3511455.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,24,AGO,Angola,X,2022,651454968.0,651454968.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,28,ATG,Antigua and Barbuda,X,2022,1027919966.0,1027919966.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,31,AZE,Azerbaijan,X,2022,182756619.0,182756619.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,32,ARG,Argentina,X,2022,12850390086.0,12850390086.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,36,AUS,Australia,X,2022,30197630664.0,30197630664.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,40,AUT,Austria,X,2022,4744182143.0,4744182143.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,44,BHS,Bahamas,X,2022,5589679077.0,5589679077.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,48,BHR,Bahrain,X,2022,952416936.0,952416936.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,50,BGD,Bangladesh,X,2022,2813866728.0,2813866728.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,51,ARM,Armenia,X,2022,192935383.0,192935383.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,52,BRB,Barbados,X,2022,813488121.0,813488121.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,56,BEL,Belgium,X,2022,35523380688.0,35523380688.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,60,BMU,Bermuda,X,2022,581297516.0,581297516.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,64,BTN,Bhutan,X,2022,4894547.0,4894547.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,68,BOL,Bolivia,X,2022,519844609.0,519844609.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,70,BIH,Bosnia Herzegovina,X,2022,29434052.0,29434052.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,72,BWA,Botswana,X,2022,45488048.0,45488048.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,76,BRA,Brazil,X,2022,53577707161.0,53577707161.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,84,BLZ,Belize,X,2022,554270522.0,554270522.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,86,IOT,Br. Indian Ocean Terr.,X,2022,4823414.0,4823414.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,90,SLB,Solomon Isds,X,2022,10392262.0,10392262.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,92,VGB,Br. Virgin Isds,X,2022,525701593.0,525701593.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,96,BRN,Brunei Darussalam,X,2022,110250641.0,110250641.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,100,BGR,Bulgaria,X,2022,522721192.0,522721192.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,104,MMR,Myanmar,X,2022,130588966.0,130588966.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,108,BDI,Burundi,X,2022,5075810.0,5075810.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,112,BLR,Belarus,X,2022,39340739.0,39340739.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,116,KHM,Cambodia,X,2022,449190823.0,449190823.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,120,CMR,Cameroon,X,2022,202075148.0,202075148.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,124,CAN,Canada,X,2022,354887051264.0,354887051264.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,132,CPV,Cabo Verde,X,2022,15648736.0,15648736.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,136,CYM,Cayman Isds,X,2022,1437919753.0,1437919753.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,140,CAF,Central African Rep.,X,2022,25416771.0,25416771.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,144,LKA,Sri Lanka,X,2022,337119653.0,337119653.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,148,TCD,Chad,X,2022,81527306.0,81527306.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,152,CHL,Chile,X,2022,23327985466.0,23327985466.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,156,CHN,China,X,2022,153837022415.0,153837022415.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,162,CXR,Christmas Isds,X,2022,1442892.0,1442892.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,166,CCK,Cocos Isds,X,2022,2031159.0,2031159.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,170,COL,Colombia,X,2022,20573031967.0,20573031967.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,174,COM,Comoros,X,2022,2238921.0,2238921.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,178,COG,Congo,X,2022,179927267.0,179927267.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,180,COD,Dem. Rep. of the Congo,X,2022,154246797.0,154246797.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,184,COK,Cook Isds,X,2022,6289079.0,6289079.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,188,CRI,Costa Rica,X,2022,8525369398.0,8525369398.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,191,HRV,Croatia,X,2022,1769568963.0,1769568963.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,192,CUB,Cuba,X,2022,371718665.0,371718665.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,196,CYP,Cyprus,X,2022,123097738.0,123097738.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,203,CZE,Czechia,X,2022,3797920519.0,3797920519.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,204,BEN,Benin,X,2022,287813769.0,287813769.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,208,DNK,Denmark,X,2022,4500861395.0,4500861395.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,212,DMA,Dominica,X,2022,197216839.0,197216839.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,214,DOM,Dominican Rep.,X,2022,13853339845.0,13853339845.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,218,ECU,Ecuador,X,2022,7901920082.0,7901920082.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,222,SLV,El Salvador,X,2022,5019468892.0,5019468892.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,226,GNQ,Equatorial Guinea,X,2022,70112522.0,70112522.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,231,ETH,Ethiopia,X,2022,1094370545.0,1094370545.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,232,ERI,Eritrea,X,2022,32751875.0,32751875.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,233,EST,Estonia,X,2022,383068124.0,383068124.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,234,FRO,Faroe Isds,X,2022,1552883.0,1552883.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,238,FLK,Falkland Isds,X,2022,164093.0,164093.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,242,FJI,Fiji,X,2022,63853207.0,63853207.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,246,FIN,Finland,X,2022,2650651454.0,2650651454.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,251,FRA,France,X,2022,46928790273.0,46928790273.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,258,PYF,French Polynesia,X,2022,147836388.0,147836388.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,260,ATF,Fr. South Antarctic Terr.,X,2022,2381960.0,2381960.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,262,DJI,Djibouti,X,2022,180231016.0,180231016.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,266,GAB,Gabon,X,2022,133508144.0,133508144.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,268,GEO,Georgia,X,2022,1236236366.0,1236236366.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,270,GMB,Gambia,X,2022,68310501.0,68310501.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,275,PSE,State of Palestine,X,2022,14006996.0,14006996.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,276,DEU,Germany,X,2022,72549705243.0,72549705243.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,288,GHA,Ghana,X,2022,974496999.0,974496999.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,292,GIB,Gibraltar,X,2022,189836229.0,189836229.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,296,KIR,Kiribati,X,2022,10153112.0,10153112.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,300,GRC,Greece,X,2022,2169894109.0,2169894109.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,304,GRL,Greenland,X,2022,7373134.0,7373134.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,308,GRD,Grenada,X,2022,176506286.0,176506286.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,320,GTM,Guatemala,X,2022,10236696154.0,10236696154.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,324,GIN,Guinea,X,2022,120301991.0,120301991.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,328,GUY,Guyana,X,2022,1179953869.0,1179953869.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,332,HTI,Haiti,X,2022,1431862809.0,1431862809.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,334,HMD,Heard Island and McDonald Islands,X,2022,21607.0,21607.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,336,VAT,Holy See,X,2022,51764.0,51764.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,340,HND,Honduras,X,2022,8133436000.0,8133436000.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,344,HKG,"China, Hong Kong SAR",X,2022,25815866210.0,25815866210.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,348,HUN,Hungary,X,2022,2871363791.0,2871363791.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,352,ISL,Iceland,X,2022,651312440.0,651312440.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,360,IDN,Indonesia,X,2022,9986092498.0,9986092498.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,364,IRN,Iran,X,2022,45496846.0,45496846.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,368,IRQ,Iraq,X,2022,949851908.0,949851908.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,372,IRL,Ireland,X,2022,15955712860.0,15955712860.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,376,ISR,Israel,X,2022,14232759951.0,14232759951.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,380,ITA,Italy,X,2022,27410694458.0,27410694458.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,384,CIV,Côte d'Ivoire,X,2022,504799899.0,504799899.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,388,JAM,Jamaica,X,2022,2643796631.0,2643796631.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,392,JPN,Japan,X,2022,80304526177.0,80304526177.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,398,KAZ,Kazakhstan,X,2022,1085029990.0,1085029990.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,400,JOR,Jordan,X,2022,1539823074.0,1539823074.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,404,KEN,Kenya,X,2022,599743497.0,599743497.0,,"UN Comtrade, comtradeapi.un.org"
842,USA,USA,410,KOR,Rep. of Korea,X,2022,71469488662.0,71469488662.0,,"UN Comtrade, comtradeapi.un.org"
