exporter_iso,exporter,importer_iso,importer,year,exporter_reported_usd,importer_reported_cif_usd,importer_reported_fob_usd,gap_cif_usd,gap_cif_pct,gap_fob_usd,gap_fob_pct,source
USA,USA,CHN,China,2022,153837022415,178956829551,,25119807136,16.33,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,MEX,Mexico,2022,324377768936,266911188886,266911188886,-57466580050,-17.72,-57466580050,-17.72,"UN Comtrade, comtradeapi.un.org"
USA,USA,CAN,Canada,2022,354887051264,281509566462,281509566462,-73377484802,-20.68,-73377484802,-20.68,"UN Comtrade, comtradeapi.un.org"
USA,USA,JPN,Japan,2022,80304526177,90685327889,,10380801712,12.93,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,DEU,Germany,2022,72549705243,100321920454,,27772215211,38.28,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,VNM,Viet Nam,2022,11398113401,14477068060,,3078954659,27.01,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,KOR,Rep. of Korea,2022,71469488662,82133764107,,10664275445,14.92,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,S19,"Other Asia, nes",2022,43710241515,45691399633,,1981158118,4.53,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,IND,India,2022,47332140044,51772470812,,4440330768,9.38,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,IRL,Ireland,2022,15955712860,23546709318,,7590996458,47.58,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,ITA,Italy,2022,27410694458,26227620345,,-1183074113,-4.32,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,GBR,United Kingdom,2022,77261013672,96873764488,,19612750816,25.39,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,THA,Thailand,2022,15592499436,17842073898,,2249574462,14.43,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,CHE,Switzerland,2022,36895589286,39241428475,,2345839189,6.36,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,FRA,France,2022,46928790273,65545085697,,18616295424,39.67,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,MYS,Malaysia,2022,18102781829,22829665613,,4726883784,26.11,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,BRA,Brazil,2022,53577707161,54328385674,51705630062,750678513,1.4,-1872077099,-3.49,"UN Comtrade, comtradeapi.un.org"
USA,USA,IDN,Indonesia,2022,9986092498,11683931951,,1697839453,17.0,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,NLD,Netherlands,2022,72876622269,60275697023,,-12600925246,-17.29,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,SGP,Singapore,2022,46163161050,51577358698,,5414197648,11.73,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,BEL,Belgium,2022,35523380688,24771712408,,-10751668280,-30.27,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,ESP,Spain,2022,26479691606,35543993475,,9064301869,34.23,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,SAU,Saudi Arabia,2022,11564777994,17401399821,,5836621827,50.47,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,ISR,Israel,2022,14232759951,9656860000,,-4575899951,-32.15,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,TUR,Türkiye,2022,14993006402,15228184616,14063358358,235178214,1.57,-929648044,-6.2,"UN Comtrade, comtradeapi.un.org"
USA,USA,COL,Colombia,2022,20573031967,18990693620,18077042054,-1582338347,-7.69,-2495989913,-12.13,"UN Comtrade, comtradeapi.un.org"
USA,USA,AUT,Austria,2022,4744182143,7624469063,,2880286920,60.71,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,SWE,Sweden,2022,7667380043,7337109057,,-330270986,-4.31,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,PHL,Philippines,2022,9290726556,9690554318,8941931542,399827762,4.3,-348795014,-3.75,"UN Comtrade, comtradeapi.un.org"
USA,USA,CHL,Chile,2022,23327985466,21851092765,20297288591,-1476892701,-6.33,-3030696875,-12.99,"UN Comtrade, comtradeapi.un.org"
USA,USA,AUS,Australia,2022,30197630664,31081410057,29400918648,883779393,2.93,-796712016,-2.64,"UN Comtrade, comtradeapi.un.org"
USA,USA,ZAF,South Africa,2022,6514871724,8203563365,8203563365,1688691641,25.92,1688691641,25.92,"UN Comtrade, comtradeapi.un.org"
USA,USA,DNK,Denmark,2022,4500861395,5021531986,,520670591,11.57,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,KHM,Cambodia,2022,449190823,312628500,,-136562323,-30.4,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,POL,Poland,2022,11311755641,16460941000,,5149185359,45.52,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,ECU,Ecuador,2022,7901920082,8568808179,,666888097,8.44,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,IRQ,Iraq,2022,949851908,1114825823,,164973915,17.37,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,PER,Peru,2022,13745701839,14271613778,,525911939,3.83,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,CRI,Costa Rica,2022,8525369398,8198695979,,-326673419,-3.83,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,FIN,Finland,2022,2650651454,4350253458,,1699602004,64.12,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,HUN,Hungary,2022,2871363791,2990511430,,119147639,4.15,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,CZE,Czechia,2022,3797920519,6141898461,5863071558,2343977942,61.72,2065151039,54.38,"UN Comtrade, comtradeapi.un.org"
USA,USA,ARE,United Arab Emirates,2022,20851481258,21415361859,,563880601,2.7,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,ARG,Argentina,2022,12850390086,10329574442,9651640378,-2520815644,-19.62,-3198749708,-24.89,"UN Comtrade, comtradeapi.un.org"
USA,USA,DOM,Dominican Rep.,2022,13853339845,11331508610,11331508610,-2521831235,-18.2,-2521831235,-18.2,"UN Comtrade, comtradeapi.un.org"
USA,USA,NOR,Norway,2022,4704651289,6496093068,,1791441779,38.08,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,SVK,Slovakia,2022,375795835,1335844153,1285661915,960048318,255.47,909866080,242.12,"UN Comtrade, comtradeapi.un.org"
USA,USA,PAK,Pakistan,2022,3177449941,3076200668,,-101249273,-3.19,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,PRT,Portugal,2022,2783028478,3706309392,,923280914,33.18,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,NIC,Nicaragua,2022,2576787873,3026680263,,449892390,17.46,,,"UN Comtrade, comtradeapi.un.org"
USA,USA,GTM,Guatemala,2022,10236696154,10274557688,,37861534,0.37,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,USA,USA,2022,582756110047,575688091172,536732471721,-7068018875,-1.21,-46023638326,-7.9,"UN Comtrade, comtradeapi.un.org"
CHN,China,MEX,Mexico,2022,77534943659,118727731290,118727731290,41192787631,53.13,41192787631,53.13,"UN Comtrade, comtradeapi.un.org"
CHN,China,CAN,Canada,2022,53704892083,77054877959,77054877959,23349985876,43.48,23349985876,43.48,"UN Comtrade, comtradeapi.un.org"
CHN,China,JPN,Japan,2022,172927435952,188857701314,,15930265362,9.21,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,DEU,Germany,2022,116226631561,207812781243,,91586149682,78.8,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,VNM,Viet Nam,2022,146959899841,117651130331,,-29308769510,-19.94,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,KOR,Rep. of Korea,2022,162621428186,154576138174,,-8045290012,-4.95,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,S19,"Other Asia, nes",2022,81697006201,83563745544,,1866739343,2.28,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,IND,India,2022,118501522799,102249179658,,-16252343141,-13.71,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,IRL,Ireland,2022,5725882125,15193428164,,9467546039,165.35,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,ITA,Italy,2022,50908035554,60937347045,,10029311491,19.7,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,GBR,United Kingdom,2022,81544681664,109267546307,,27722864643,34.0,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,THA,Thailand,2022,78479644684,70766687538,,-7712957146,-9.83,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,CHE,Switzerland,2022,7682844718,21553631382,,13870786664,180.54,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,FRA,France,2022,46143668124,84449907966,,38306239842,83.02,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,MYS,Malaysia,2022,93711259027,62674085248,,-31037173779,-33.12,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,BRA,Brazil,2022,61969970590,67767819341,60744584847,5797848751,9.36,-1225385743,-1.98,"UN Comtrade, comtradeapi.un.org"
CHN,China,IDN,Indonesia,2022,71318138050,68041790651,,-3276347399,-4.59,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,NLD,Netherlands,2022,117730967517,67656334150,,-50074633367,-42.53,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,SGP,Singapore,2022,81167608325,62983931769,,-18183676556,-22.4,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,BEL,Belgium,2022,35635134056,15626794797,,-20008339259,-56.15,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,ESP,Spain,2022,41752008756,52200709177,,10448700421,25.03,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,SAU,Saudi Arabia,2022,37990174783,39799877568,,1809702785,4.76,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,ISR,Israel,2022,16481073879,13150818000,,-3330255879,-20.21,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,TUR,Türkiye,2022,34033748511,41354561249,38073401497,7320812738,21.51,4039652986,11.87,"UN Comtrade, comtradeapi.un.org"
CHN,China,COL,Colombia,2022,15600099016,18698740765,16556075715,3098641749,19.86,955976699,6.13,"UN Comtrade, comtradeapi.un.org"
CHN,China,AUT,Austria,2022,5118761046,18374175543,,13255414497,258.96,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,SWE,Sweden,2022,11396090159,14321195059,,2925104900,25.67,,,"UN Comtrade, comtradeapi.un.org"
CHN,China,PHL,Philippines,2022,64679390988,29796347043,28187719816,-34883043945,-53.93,-36491671172,-56.42,"UN Comtrade, comtradeapi.un.org"
CHN,China,CHL,Chile,2022,22520038832,26410413082,23002835047,3890374250,17.28,482796215,2.14,"UN Comtrade, comtradeapi.un.org"
CHN,China,AUS,Australia,2022,78827035893,83730941501,76813230266,4903905608,6.22,-2013805627,-2.55,"UN Comtrade, comtradeapi.un.org"
CHN,China,ZAF,South Africa,2022,24196441517,22461557786,22461557786,-1734883731,-7.17,-1734883731,-7.17,"UN Comtrade, comtradeapi.un.org"
CHN,China,DNK,Denmark,2022,10191600679,10576995031,,385394352,3.78,,,"UN Comtrade, comtradeapi.un.org"
