iso3,reporter,year,total_exports_usd,total_imports_usd,export_partners,import_partners,pairs_as_exporter,median_abs_gap_cif_pct,median_abs_gap_fob_pct,source
USA,USA,2022,2062089832731.0,3372902165775.0,222,223,51,17.29,17.72,"UN Comtrade, comtradeapi.un.org"
CHN,China,2022,3593601435602.0,2715997517261.0,218,219,51,25.03,10.3,"UN Comtrade, comtradeapi.un.org"
MEX,Mexico,2022,579814827943.0,606295621090.0,135,216,51,106.61,106.61,"UN Comtrade, comtradeapi.un.org"
CAN,Canada,2022,599941807666.279,571773402336.481,218,223,51,24.9,23.06,"UN Comtrade, comtradeapi.un.org"
JPN,Japan,2022,746672096581.525,898599893774.247,216,217,51,25.05,21.62,"UN Comtrade, comtradeapi.un.org"
DEU,Germany,2022,1695806689768.824,1598522313901.285,233,233,51,9.64,12.86,"UN Comtrade, comtradeapi.un.org"
VNM,Viet Nam,2022,370909157438.999,358788312545.154,97,97,49,44.24,34.86,"UN Comtrade, comtradeapi.un.org"
KOR,Rep. of Korea,2022,683550925677.0,731361419922.0,225,230,51,23.42,8.53,"UN Comtrade, comtradeapi.un.org"
S19,"Other Asia, nes",2022,477816742263.5,436551017046.56,217,230,50,48.83,35.19,"UN Comtrade, comtradeapi.un.org"
IND,India,2022,452684213646.747,732565993392.928,223,211,51,30.19,13.04,"UN Comtrade, comtradeapi.un.org"
IRL,Ireland,2022,219836715126.171,148503448776.55,220,236,51,45.02,24.93,"UN Comtrade, comtradeapi.un.org"
ITA,Italy,2022,659387209133.806,695235842853.138,228,217,51,14.49,10.95,"UN Comtrade, comtradeapi.un.org"
GBR,United Kingdom,2022,543186045500.722,813768287245.402,233,232,51,11.09,10.41,"UN Comtrade, comtradeapi.un.org"
THA,Thailand,2022,287424243392.195,301019948647.819,222,232,51,32.51,23.59,"UN Comtrade, comtradeapi.un.org"
CHE,Switzerland,2022,400057174592.488,356235312307.771,224,197,51,19.54,9.02,"UN Comtrade, comtradeapi.un.org"
FRA,France,2022,632759243092.236,839860609993.965,227,234,51,19.95,12.96,"UN Comtrade, comtradeapi.un.org"
MYS,Malaysia,2022,352188166340.549,293941168750.837,222,210,50,49.25,43.71,"UN Comtrade, comtradeapi.un.org"
BRA,Brazil,2022,334463079195.0,292343725728.0,230,219,51,27.05,7.62,"UN Comtrade, comtradeapi.un.org"
IDN,Indonesia,2022,292186677494.872,237935368273.0,214,225,51,42.68,24.98,"UN Comtrade, comtradeapi.un.org"
NLD,Netherlands,2022,768259269680.812,710771871927.832,235,229,51,30.11,33.7,"UN Comtrade, comtradeapi.un.org"
SGP,Singapore,2022,514966127005.218,475412874146.485,219,226,51,37.79,23.54,"UN Comtrade, comtradeapi.un.org"
BEL,Belgium,2022,455402707991.035,461788951877.973,233,230,51,19.31,15.07,"UN Comtrade, comtradeapi.un.org"
ESP,Spain,2022,424286054809.902,499055069367.492,228,235,51,10.99,5.67,"UN Comtrade, comtradeapi.un.org"
SAU,Saudi Arabia,2022,411184219840.928,189865321359.5,176,215,50,291.97,380.69,"UN Comtrade, comtradeapi.un.org"
ISR,Israel,2022,72568881000.0,107757786000.0,193,171,47,26.02,14.44,"UN Comtrade, comtradeapi.un.org"
TUR,Türkiye,2022,254169747663.0,363710572811.0,225,223,51,31.33,27.68,"UN Comtrade, comtradeapi.un.org"
COL,Colombia,2022,56910136647.72,77410016061.06,180,199,51,36.62,15.83,"UN Comtrade, comtradeapi.un.org"
AUT,Austria,2022,203753247346.142,226475409356.762,223,225,51,17.26,15.28,"UN Comtrade, comtradeapi.un.org"
SWE,Sweden,2022,197527811301.403,202997376050.399,227,233,51,17.18,16.44,"UN Comtrade, comtradeapi.un.org"
PHL,Philippines,2022,78928518085.0,145880017845.0,205,208,51,70.07,66.38,"UN Comtrade, comtradeapi.un.org"
CHL,Chile,2022,98557005169.484,104606443691.235,177,186,51,20.81,27.6,"UN Comtrade, comtradeapi.un.org"
AUS,Australia,2022,410252834479.043,309300244763.119,213,213,51,50.17,47.76,"UN Comtrade, comtradeapi.un.org"
ZAF,South Africa,2022,121616282067.877,111880322479.528,218,231,51,56.86,81.83,"UN Comtrade, comtradeapi.un.org"
DNK,Denmark,2022,129177354954.924,125871602137.688,227,227,51,28.5,45.34,"UN Comtrade, comtradeapi.un.org"
KHM,Cambodia,2022,20575772752.56,29941601628.79,154,145,49,91.91,75.65,"UN Comtrade, comtradeapi.un.org"
POL,Poland,2022,365750693518.0,386969091653.0,226,233,51,21.84,23.76,"UN Comtrade, comtradeapi.un.org"
ECU,Ecuador,2022,35380361707.0,33048920968.5,150,197,51,24.38,13.18,"UN Comtrade, comtradeapi.un.org"
IRQ,Iraq,2022,124765937461.0,21869545751.0,31,99,16,468543.03,248808.0,"UN Comtrade, comtradeapi.un.org"
PER,Peru,2022,58172421866.18,60246353945.637,162,201,51,29.21,21.8,"UN Comtrade, comtradeapi.un.org"
CRI,Costa Rica,2022,15319695069.468,21140329929.564,156,209,51,128.0,183.53,"UN Comtrade, comtradeapi.un.org"
FIN,Finland,2022,86228240180.829,97374453184.738,214,227,51,25.45,18.94,"UN Comtrade, comtradeapi.un.org"
HUN,Hungary,2022,149934114714.0,159334561983.0,207,190,51,25.0,32.45,"UN Comtrade, comtradeapi.un.org"
CZE,Czechia,2022,241689131117.0,236320011363.0,211,236,51,26.86,40.16,"UN Comtrade, comtradeapi.un.org"
ARE,United Arab Emirates,2022,532784878851.602,420501581649.981,225,227,51,72.55,54.86,"UN Comtrade, comtradeapi.un.org"
ARG,Argentina,2022,88445718838.32,81522681076.03,167,183,51,26.43,8.97,"UN Comtrade, comtradeapi.un.org"
DOM,Dominican Rep.,2022,9836347238.656,26760023728.204,135,209,50,170.95,148.32,"UN Comtrade, comtradeapi.un.org"
NOR,Norway,2022,269769592025.205,104447980262.201,207,200,51,30.05,14.79,"UN Comtrade, comtradeapi.un.org"
SVK,Slovakia,2022,108238390513.634,115784469709.566,204,234,51,31.7,49.79,"UN Comtrade, comtradeapi.un.org"
PAK,Pakistan,2022,30769091836.46,70175991322.898,199,206,50,43.77,19.74,"UN Comtrade, comtradeapi.un.org"
PRT,Portugal,2022,83016781174.499,116009801908.376,214,216,51,33.38,20.12,"UN Comtrade, comtradeapi.un.org"
NIC,Nicaragua,2022,7359828800.95,11246653944.92,123,160,49,53.26,46.41,"UN Comtrade, comtradeapi.un.org"
GTM,Guatemala,2022,15806152176.0,32099063169.0,136,195,49,31.17,14.7,"UN Comtrade, comtradeapi.un.org"
