iso3,country,region,income_group,year,population,water_basic_pct,water_safely_managed_pct,basic_minus_safely_pts,sanitation_basic_pct,sanitation_safely_managed_pct,open_defecation_pct,handwashing_basic_pct,water_safely_managed_urban_pct,water_safely_managed_rural_pct,wash_deaths_per_100k,source
ABW,Aruba,Latin America & Caribbean ,High income,2024,107995,,,,98.84,,0.86,98.61,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2024,42647492,80.83,30.55,50.28,54.5,24.78,11.17,51.94,36.38,28.37,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AGO,Angola,Sub-Saharan Africa ,Lower middle income,2024,37885849,67.96,,,,,,36.94,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ALB,Albania,Europe & Central Asia,Upper middle income,2024,2377128,95.12,70.79,24.33,99.3,69.28,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AND,Andorra,Europe & Central Asia,High income,2024,81938,100.0,90.64,9.36,100.0,100.0,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,10986400,100.0,98.64,1.36,99.09,98.45,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ARG,Argentina,Latin America & Caribbean ,Upper middle income,2016,43900313,99.04,,,94.82,48.54,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ARM,Armenia,Europe & Central Asia,Upper middle income,2024,3033500,99.93,82.07,17.86,93.66,10.74,0.01,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ASM,American Samoa,East Asia & Pacific,High income,2024,46765,100.0,90.54,9.46,62.12,42.93,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,2024,93772,98.92,,,99.61,,0.14,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AUS,Australia,East Asia & Pacific,High income,2024,27194286,99.97,,,100.0,95.77,0,,99.65,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AUT,Austria,Europe & Central Asia,High income,2024,9177982,100.0,98.89,1.11,99.97,98.5,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
