property,value,unit,source
countries with a basic drinking water figure,209,count,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
countries with a safely managed drinking water figure,147,count,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
countries with basic but no safely managed figure,62,count,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
population in those countries,2210972801,people,"World Bank WDI (JMP), api.worldbank.org"
population in all countries with a basic figure,8097276617,people,"World Bank WDI (JMP), api.worldbank.org"
share of that population with no safely managed figure,27.31,percent,"World Bank WDI (JMP), api.worldbank.org"
first year,2000,year,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
last year,2024,year,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
cross-checked country-year-indicator pairs,19177,count,WHO GHO vs World Bank WDI
worst cross-check disagreement,0.0,percentage points,WHO GHO vs World Bank WDI
pairs only in WHO GHO,970,count,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
pairs only in the World Bank,4003,count,"World Bank WDI (JMP), api.worldbank.org"
open defecation pairs checked against GHO's rounded copy,4993,count,WHO GHO (rounded) vs World Bank WDI
worst open defecation gap,0.5,percentage points,"GHO rounds these to whole percent, so anything up to 0.5 is the rounding"
service ladder rungs compared,2,count,"at least basic, and safely managed"
