iso3,country,region,income_group,year,population,has_water_basic,has_water_safely_managed,has_sanitation_safely_managed,status,source
ABW,Aruba,Latin America & Caribbean ,High income,2024,107995,no,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2024,42647492,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AGO,Angola,Sub-Saharan Africa ,Lower middle income,2024,37885849,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ALB,Albania,Europe & Central Asia,Upper middle income,2024,2377128,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AND,Andorra,Europe & Central Asia,High income,2024,81938,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,10986400,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ARG,Argentina,Latin America & Caribbean ,Upper middle income,2016,43900313,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ARM,Armenia,Europe & Central Asia,Upper middle income,2024,3033500,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ASM,American Samoa,East Asia & Pacific,High income,2024,46765,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,2024,93772,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AUS,Australia,East Asia & Pacific,High income,2024,27194286,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AUT,Austria,Europe & Central Asia,High income,2024,9177982,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2024,10202830,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
BDI,Burundi,Sub-Saharan Africa ,Low income,2024,14047786,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
BEL,Belgium,Europe & Central Asia,High income,2024,11858610,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
BEN,Benin,Sub-Saharan Africa ,Lower middle income,2024,14462724,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,2024,23548781,yes,no,yes,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
BGD,Bangladesh,South Asia,Lower middle income,2024,173562364,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
BGR,Bulgaria,Europe & Central Asia,High income,2024,6441421,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,1588670,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
