iso3,year,indicator,who_gho,world_bank,abs_diff,source
FSM,2006,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
FSM,2007,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
FSM,2008,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
FSM,2009,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
FSM,2010,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
FSM,2011,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
FSM,2012,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
FSM,2013,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
FSM,2014,open_defecation,10.0000,9.5000,0.5000,WHO GHO (rounded) vs World Bank WDI
DJI,2018,open_defecation,17.0000,16.5002,0.4998,WHO GHO (rounded) vs World Bank WDI
MAR,2019,open_defecation,2.0000,2.4997,0.4997,WHO GHO (rounded) vs World Bank WDI
SDN,2017,open_defecation,28.0000,27.5004,0.4996,WHO GHO (rounded) vs World Bank WDI
KIR,2017,open_defecation,37.0000,36.5010,0.4990,WHO GHO (rounded) vs World Bank WDI
URY,2002,open_defecation,2.0000,1.5014,0.4986,WHO GHO (rounded) vs World Bank WDI
PSE,2008,open_defecation,0.0000,0.4985,0.4985,WHO GHO (rounded) vs World Bank WDI
BFA,2015,open_defecation,45.0000,45.4984,0.4984,WHO GHO (rounded) vs World Bank WDI
IRN,2004,open_defecation,0.0000,0.4982,0.4982,WHO GHO (rounded) vs World Bank WDI
ERI,2010,open_defecation,71.0000,70.5020,0.4980,WHO GHO (rounded) vs World Bank WDI
SXM,2000,open_defecation,0.0000,0.4971,0.4971,WHO GHO (rounded) vs World Bank WDI
HTI,2015,open_defecation,22.0000,21.5037,0.4963,WHO GHO (rounded) vs World Bank WDI
SLB,2016,open_defecation,50.0000,49.5045,0.4955,WHO GHO (rounded) vs World Bank WDI
FJI,2002,open_defecation,1.0000,0.5049,0.4951,WHO GHO (rounded) vs World Bank WDI
SOM,2019,open_defecation,23.0000,22.5050,0.4950,WHO GHO (rounded) vs World Bank WDI
MEX,2015,open_defecation,2.0000,2.4947,0.4947,WHO GHO (rounded) vs World Bank WDI
AFG,2014,open_defecation,16.0000,16.4943,0.4943,WHO GHO (rounded) vs World Bank WDI
