scope,year,residence,indicator,pct,source
AFR,2000,rural,open_defecation,40.1094,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,rural,sanitation_basic,17.3272,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,rural,sanitation_safely_managed,14.1652,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,rural,water_basic,31.8922,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,rural,water_safely_managed,7.3201,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,total,open_defecation,29.7092,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,total,sanitation_basic,24.9785,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,total,sanitation_safely_managed,18.2666,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,total,water_basic,47.5773,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,total,water_safely_managed,19.8461,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,urban,open_defecation,8.4302,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,urban,sanitation_basic,40.5993,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,urban,sanitation_safely_managed,26.6229,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,urban,water_basic,79.4387,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2000,urban,water_safely_managed,45.3668,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2001,rural,open_defecation,39.5106,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2001,rural,sanitation_basic,17.536,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2001,rural,sanitation_safely_managed,14.3583,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2001,rural,water_basic,32.6628,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2001,rural,water_safely_managed,7.4912,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2001,total,open_defecation,29.0836,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
