country_iso,country,entries,en_wikipedia_entries,en_wikipedia_pct,top_project,top_project_entries,top_project_pct,distinct_projects,source
IN,India,140,140,100.0,en.wikipedia,140,100.0,1,Wikimedia Analytics pageviews API (CC0)
NG,Nigeria,15,15,100.0,en.wikipedia,15,100.0,1,Wikimedia Analytics pageviews API (CC0)
GB,United Kingdom,140,139,99.29,en.wikipedia,139,99.29,2,Wikimedia Analytics pageviews API (CC0)
US,United States,140,137,97.86,en.wikipedia,137,97.86,3,Wikimedia Analytics pageviews API (CC0)
PH,Philippines,138,135,97.83,en.wikipedia,135,97.83,3,Wikimedia Analytics pageviews API (CC0)
ZA,South Africa,44,38,86.36,en.wikipedia,38,86.36,4,Wikimedia Analytics pageviews API (CC0)
ID,Indonesia,140,66,47.14,id.wikipedia,73,52.14,3,Wikimedia Analytics pageviews API (CC0)
TH,Thailand,123,34,27.64,th.wikipedia,88,71.54,3,Wikimedia Analytics pageviews API (CC0)
MX,Mexico,140,18,12.86,es.wikipedia,118,84.29,5,Wikimedia Analytics pageviews API (CC0)
BR,Brazil,140,10,7.14,pt.wikipedia,121,86.43,8,Wikimedia Analytics pageviews API (CC0)
KR,South Korea,140,10,7.14,ko.wikipedia,129,92.14,3,Wikimedia Analytics pageviews API (CC0)
AR,Argentina,140,8,5.71,es.wikipedia,130,92.86,4,Wikimedia Analytics pageviews API (CC0)
DE,Germany,140,5,3.57,de.wikipedia,133,95.0,3,Wikimedia Analytics pageviews API (CC0)
IT,Italy,140,5,3.57,it.wikipedia,133,95.0,3,Wikimedia Analytics pageviews API (CC0)
PL,Poland,140,5,3.57,pl.wikipedia,135,96.43,2,Wikimedia Analytics pageviews API (CC0)
ES,Spain,140,4,2.86,es.wikipedia,135,96.43,3,Wikimedia Analytics pageviews API (CC0)
FR,France,140,3,2.14,fr.wikipedia,137,97.86,2,Wikimedia Analytics pageviews API (CC0)
JP,Japan,140,0,0.0,ja.wikipedia,140,100.0,1,Wikimedia Analytics pageviews API (CC0)
