country_iso,country,date,rank,article,project,views_ceil,count_basis,source
US,United States,2026-08-24,1,Shelley_Fabares,en.wikipedia,415800,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,2,Jed_York,en.wikipedia,209800,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,3,Enes_Kanter_Freedom,en.wikipedia,205000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,4,Murder_of_Sonya_Massey,en.wikipedia,165400,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,5,Mike_Farrell,en.wikipedia,156700,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,6,Hayden_Panettiere,en.wikipedia,103700,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,7,Natasha_Cloud,en.wikipedia,92700,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,8,Lanterns_(TV_series),en.wikipedia,81400,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,9,Deaths_in_2026,en.wikipedia,70700,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,10,"Neatsville,_Kentucky",en.wikipedia,60300,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,11,Shiyazh_Pete,en.wikipedia,58400,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,12,Lou_Adler,en.wikipedia,54100,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,13,Spider-Man:_Brand_New_Day,en.wikipedia,49200,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,14,Natalie_Harp,en.wikipedia,48900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,15,The_Odyssey_(2026_film),en.wikipedia,44700,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,16,Denise_DeBartolo_York,en.wikipedia,44100,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,17,Limonene,en.wikipedia,44000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,18,Nanette_Fabray,en.wikipedia,43500,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,19,Manhunters_(DC_Comics),en.wikipedia,38900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-24,20,Lesbian_Space_Princess,en.wikipedia,38800,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,1,Dolly_Parton,en.wikipedia,3642100,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,2,Jed_York,en.wikipedia,152100,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,3,Shelley_Fabares,en.wikipedia,139400,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,4,Kwanza_Jones,en.wikipedia,123900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,5,José_E._Feliciano,en.wikipedia,98000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,6,Deaths_in_2026,en.wikipedia,91100,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,7,Hayden_Panettiere,en.wikipedia,86900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,8,Enes_Kanter_Freedom,en.wikipedia,79600,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,9,Stella_Parton,en.wikipedia,74100,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,10,Randy_Parton,en.wikipedia,65900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,11,Rachel_Parton_George,en.wikipedia,65500,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,12,"Neatsville,_Kentucky",en.wikipedia,59600,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,13,Mike_Farrell,en.wikipedia,51200,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,14,Lanterns_(TV_series),en.wikipedia,46200,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,15,Bill_Owens_(songwriter),en.wikipedia,45500,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,16,Abdul_El-Sayed,en.wikipedia,45000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,17,Limonene,en.wikipedia,42300,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,18,Spider-Man:_Brand_New_Day,en.wikipedia,38600,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,19,I_Will_Always_Love_You,en.wikipedia,38400,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-25,20,Porter_Wagoner,en.wikipedia,38000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,1,Dolly_Parton,en.wikipedia,2067900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,2,Tim_Curry,en.wikipedia,1974000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,3,Search,ja.wikipedia,349500,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,4,List_of_Tim_Curry_performances,en.wikipedia,165100,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,5,Kyle_Singler,en.wikipedia,123600,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,6,Stella_Parton,en.wikipedia,107900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,7,Deaths_in_2026,en.wikipedia,101800,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,8,Hayden_Panettiere,en.wikipedia,98600,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,9,Rachel_Parton_George,en.wikipedia,94200,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,10,Randy_Parton,en.wikipedia,86200,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,11,Shelley_Fabares,en.wikipedia,76000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,12,Kenny_Rogers,en.wikipedia,76000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,13,Porter_Wagoner,en.wikipedia,74900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,14,The_Rocky_Horror_Picture_Show,en.wikipedia,69900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,15,I_Will_Always_Love_You,en.wikipedia,68700,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,16,Kwanza_Jones,en.wikipedia,65700,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,17,Darline_Graham,en.wikipedia,61700,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,18,Jed_York,en.wikipedia,61100,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,19,Dollywood,en.wikipedia,60900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-26,20,"Neatsville,_Kentucky",en.wikipedia,60600,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-27,1,Tim_Curry,en.wikipedia,925000,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-27,2,Dolly_Parton,en.wikipedia,749800,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-27,3,Peter_Cullen,en.wikipedia,571900,rounded,Wikimedia Analytics pageviews API (CC0)
US,United States,2026-08-27,4,Lake_Ontario,en.wikipedia,140500,rounded,Wikimedia Analytics pageviews API (CC0)
