property,value,note,source
countries,24,,Wikimedia Analytics pageviews API (CC0)
language projects,14,,Wikimedia Analytics pageviews API (CC0)
days,7,2026-08-24 to 2026-08-30,Wikimedia Analytics pageviews API (CC0)
articles read per list,20,after filtering,Wikimedia Analytics pageviews API (CC0)
country entries kept,2280,,Wikimedia Analytics pageviews API (CC0)
project entries kept,1960,,Wikimedia Analytics pageviews API (CC0)
non-Wikipedia entries dropped,684,"the per-country endpoint spans every Wikimedia project; wiktionary, wikibooks and commons entries in it are almost entirely Special:RecentChanges bot traffic on tiny projects",Wikimedia Analytics pageviews API (CC0)
namespace entries dropped,1417,"main pages, searches and namespaced pages. The main page alone is usually the largest single entry in every country, and keeping it would make them all look identical for a reason unrelated to interest",Wikimedia Analytics pageviews API (CC0)
per-country counts are exact,0,"the API returns views_ceil, deliberately rounded so that per-country reading cannot re-identify anyone. Every country figure here is approximate by design",Wikimedia Analytics pageviews API (CC0)
per-project counts are exact,1,the per-project endpoint returns unrounded views,Wikimedia Analytics pageviews API (CC0)
bot traffic excluded,0,"all-access includes automated traffic Wikimedia could not classify. A user-only filter exists per project but not per country, so neither uses it, for comparability",Wikimedia Analytics pageviews API (CC0)
mobile and desktop separated,0,all-access combines them,Wikimedia Analytics pageviews API (CC0)
reading time or engagement,0,"a pageview is a request, not a read",Wikimedia Analytics pageviews API (CC0)
countries with no data at all,6,"of 24 asked for. The API answers 404 with 'the country you asked for is not loaded yet', and the countries it will not answer for are systematically the non-Western ones",Wikimedia Analytics pageviews API (CC0)
countries with a truncated list,4,"fewer than 20 articles a day clear the privacy floor, so a smaller country's list is shorter as well as rounder",Wikimedia Analytics pageviews API (CC0)
