project,language,date,top_article,views,articles_after_filter,source
en.wikipedia,English,2026-08-15,Jason_Arday,987162,988,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,2026-08-15,Mario_Castiglione,48192,970,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,2026-08-15,踊る大捜査線,74355,995,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,2026-08-15,Jason_Arday,76802,986,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,2026-08-15,Cookie_(informatique),666516,987,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,2026-08-15,"Таривердиев,_Микаэл_Леонович",44122,989,Wikimedia Analytics pageviews API (CC0)
pt.wikipedia,Portuguese,2026-08-15,Inde_Navarrette,8160,992,Wikimedia Analytics pageviews API (CC0)
zh.wikipedia,Chinese,2026-08-15,陳幸妤,35224,989,Wikimedia Analytics pageviews API (CC0)
ar.wikipedia,Arabic,2026-08-15,إيمان_بنت_عبد_الله_الثاني,11015,958,Wikimedia Analytics pageviews API (CC0)
it.wikipedia,Italian,2026-08-15,Ferragosto,55302,994,Wikimedia Analytics pageviews API (CC0)
pl.wikipedia,Polish,2026-08-15,Roman_Karkosik,23402,989,Wikimedia Analytics pageviews API (CC0)
fa.wikipedia,Persian,2026-08-15,روش‌های_آمیزش_جنسی,12446,970,Wikimedia Analytics pageviews API (CC0)
hi.wikipedia,Hindi,2026-08-15,स्वतंत्रता_दिवस_(भारत),32679,981,Wikimedia Analytics pageviews API (CC0)
