a_project,a_language,b_project,b_language,a_articles,b_articles,shared_articles,jaccard_pct,source
en.wikipedia,English,fr.wikipedia,French,67,87,11,7.69,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,es.wikipedia,Spanish,67,70,9,7.03,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,fr.wikipedia,French,70,87,8,5.37,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,it.wikipedia,Italian,87,99,8,4.49,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,fr.wikipedia,French,86,87,7,4.22,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,id.wikipedia,Indonesian,70,59,5,4.03,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,pt.wikipedia,Portuguese,70,65,5,3.85,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,pl.wikipedia,Polish,67,96,6,3.82,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,it.wikipedia,Italian,67,99,6,3.75,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,it.wikipedia,Italian,70,99,6,3.68,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,pl.wikipedia,Polish,87,96,6,3.39,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,de.wikipedia,German,67,86,5,3.38,Wikimedia Analytics pageviews API (CC0)
pt.wikipedia,Portuguese,id.wikipedia,Indonesian,65,59,4,3.33,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,de.wikipedia,German,70,86,5,3.31,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,pt.wikipedia,Portuguese,67,65,4,3.12,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,it.wikipedia,Italian,86,99,5,2.78,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,pt.wikipedia,Portuguese,87,65,4,2.7,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,pl.wikipedia,Polish,70,96,4,2.47,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,pt.wikipedia,Portuguese,86,65,3,2.03,Wikimedia Analytics pageviews API (CC0)
pt.wikipedia,Portuguese,pl.wikipedia,Polish,65,96,3,1.9,Wikimedia Analytics pageviews API (CC0)
pt.wikipedia,Portuguese,it.wikipedia,Italian,65,99,3,1.86,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,pl.wikipedia,Polish,86,96,3,1.68,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,id.wikipedia,Indonesian,67,59,2,1.61,Wikimedia Analytics pageviews API (CC0)
it.wikipedia,Italian,pl.wikipedia,Polish,99,96,3,1.56,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,id.wikipedia,Indonesian,87,59,2,1.39,Wikimedia Analytics pageviews API (CC0)
id.wikipedia,Indonesian,pl.wikipedia,Polish,59,96,2,1.31,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,fa.wikipedia,Persian,67,39,1,0.95,Wikimedia Analytics pageviews API (CC0)
pl.wikipedia,Polish,hi.wikipedia,Hindi,96,43,1,0.72,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,id.wikipedia,Indonesian,86,59,1,0.69,Wikimedia Analytics pageviews API (CC0)
id.wikipedia,Indonesian,it.wikipedia,Italian,59,99,1,0.64,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,zh.wikipedia,Chinese,105,57,1,0.62,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,ja.wikipedia,Japanese,67,105,0,0.0,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,ru.wikipedia,Russian,67,69,0,0.0,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,zh.wikipedia,Chinese,67,57,0,0.0,Wikimedia Analytics pageviews API (CC0)
