project,language,date,rank,article,views,count_basis,source
en.wikipedia,English,2026-08-24,1,Shelley_Fabares,465529,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,2,Enes_Kanter_Freedom,255439,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,3,Jed_York,227246,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,4,Murder_of_Sonya_Massey,207116,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,5,Mike_Farrell,176009,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,6,Spider-Man:_Brand_New_Day,168945,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,7,Hayden_Panettiere,158244,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,8,Lanterns_(TV_series),153412,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,9,Deaths_in_2026,145264,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,10,The_Odyssey_(2026_film),129495,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,11,Natasha_Cloud,129034,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,12,"Neatsville,_Kentucky",86272,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,13,Lesbian_Space_Princess,86260,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,14,Anna's_Archive,83128,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,15,List_of_highest-grossing_films,78094,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,16,Natalie_Harp,74742,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,17,.xyz,68739,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,18,Awarapan_2,68476,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,19,Manhunters_(DC_Comics),67753,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-24,20,Shiyazh_Pete,66570,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,1,Dolly_Parton,5544814,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,2,Jed_York,180256,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,3,Deaths_in_2026,179929,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,4,Shelley_Fabares,158704,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,5,Spider-Man:_Brand_New_Day,141403,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,6,Hayden_Panettiere,138765,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,7,Kwanza_Jones,136757,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,8,Stella_Parton,121657,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,9,Randy_Parton,111316,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,10,José_E._Feliciano,108786,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,11,Rachel_Parton_George,108461,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,12,Enes_Kanter_Freedom,108130,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,13,The_Odyssey_(2026_film),104342,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,14,Toxic_(2026_film),99600,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,15,Lanterns_(TV_series),91884,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,16,Anna's_Archive,87519,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,17,"Neatsville,_Kentucky",83113,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,18,Lesbian_Space_Princess,79369,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,19,List_of_highest-grossing_films,75817,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-25,20,Bill_Owens_(songwriter),74892,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-26,1,Dolly_Parton,3814339,exact,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,2026-08-26,2,Tim_Curry,3081968,exact,Wikimedia Analytics pageviews API (CC0)
