item,year,element,value,unit,source
"Abaca, manila hemp, raw",1961,Area harvested,183000.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1962,Area harvested,182000.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1963,Area harvested,211000.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1964,Area harvested,199290.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1965,Area harvested,198040.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1966,Area harvested,198000.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1967,Area harvested,186100.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1968,Area harvested,170710.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1969,Area harvested,172940.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1970,Area harvested,173020.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1971,Area harvested,155300.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1972,Area harvested,145200.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1973,Area harvested,163300.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1974,Area harvested,170110.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1975,Area harvested,179650.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1976,Area harvested,243760.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1977,Area harvested,250290.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1978,Area harvested,243810.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1979,Area harvested,234700.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1980,Area harvested,235870.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1981,Area harvested,230140.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1982,Area harvested,206750.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1983,Area harvested,170350.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1984,Area harvested,170676.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1985,Area harvested,164549.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1986,Area harvested,114849.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1987,Area harvested,114815.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1988,Area harvested,108300.0,ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
