item,rows,first_year,last_year,status,source
Rice,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Maize (corn),64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Coconuts, in shell",64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Sugar cane,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Bananas,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Cassava, fresh",64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Sweet potatoes,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Coffee, green",64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Pineapples,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Mangoes, guavas and mangosteens",64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Onions and shallots, dry (excluding dehydrated)",64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Tomatoes,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Eggplants (aubergines),64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Cabbages,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Green garlic,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Cattle,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Swine / pigs,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Chickens,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Goats,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
Ducks,64,1961,2024,matched,FAOSTAT Production_Crops_Livestock (Asia bulk)
