year,agri_value_added_pct_gdp,agri_employment_pct,arable_ha_per_person,fertiliser_kg_per_ha,source
1961,23.645,,0.17,14.532,World Bank World Development Indicators API v2
1962,23.805,,0.164,18.096,World Bank World Development Indicators API v2
1963,24.405,,0.158,19.136,World Bank World Development Indicators API v2
1964,23.76,,0.153,18.223,World Bank World Development Indicators API v2
1965,24.267,,0.148,23.485,World Bank World Development Indicators API v2
1966,24.25,,0.143,22.188,World Bank World Development Indicators API v2
1967,24.431,,0.137,24.812,World Bank World Development Indicators API v2
1968,26.128,,0.133,31.409,World Bank World Development Indicators API v2
1969,26.791,,0.128,43.226,World Bank World Development Indicators API v2
1970,26.359,,0.124,43.073,World Bank World Development Indicators API v2
1971,27.053,,0.121,44.983,World Bank World Development Indicators API v2
1972,26.217,,0.119,41.106,World Bank World Development Indicators API v2
1973,27.199,,0.118,54.43,World Bank World Development Indicators API v2
1974,27.63,,0.117,59.419,World Bank World Development Indicators API v2
1975,26.945,,0.115,46.784,World Bank World Development Indicators API v2
1976,25.917,,0.116,53.74,World Bank World Development Indicators API v2
1977,25.381,,0.115,51.098,World Bank World Development Indicators API v2
1978,24.911,,0.113,60.534,World Bank World Development Indicators API v2
1979,24.182,,0.111,65.827,World Bank World Development Indicators API v2
1980,22.032,,0.109,63.887,World Bank World Development Indicators API v2
1981,21.808,,0.106,61.228,World Bank World Development Indicators API v2
1982,20.423,,0.103,65.954,World Bank World Development Indicators API v2
1983,19.524,,0.101,69.102,World Bank World Development Indicators API v2
1984,21.685,,0.098,50.091,World Bank World Development Indicators API v2
1985,21.594,,0.097,53.024,World Bank World Development Indicators API v2
1986,21.029,,0.095,72.185,World Bank World Development Indicators API v2
1987,21.079,,0.093,89.617,World Bank World Development Indicators API v2
1988,20.11,,0.091,92.736,World Bank World Development Indicators API v2
1989,19.865,,0.089,97.761,World Bank World Development Indicators API v2
1990,19.16,,0.087,107.134,World Bank World Development Indicators API v2
1991,18.338,44.079,0.085,81.614,World Bank World Development Indicators API v2
1992,19.107,44.287,0.082,92.99,World Bank World Development Indicators API v2
1993,18.908,44.6,0.08,105.012,World Bank World Development Indicators API v2
1994,19.26,43.471,0.077,112.502,World Bank World Development Indicators API v2
1995,18.925,42.842,0.075,113.227,World Bank World Development Indicators API v2
1996,18.014,40.406,0.073,140.745,World Bank World Development Indicators API v2
1997,16.449,39.04,0.07,156.065,World Bank World Development Indicators API v2
1998,14.747,37.306,0.068,122.382,World Bank World Development Indicators API v2
1999,15.194,37.527,0.065,146.266,World Bank World Development Indicators API v2
2000,13.941,35.781,0.063,145.918,World Bank World Development Indicators API v2
2001,13.303,35.558,0.061,156.785,World Bank World Development Indicators API v2
2002,13.448,35.353,0.059,139.34,World Bank World Development Indicators API v2
2003,13.151,34.843,0.059,166.996,World Bank World Development Indicators API v2
2004,13.984,34.295,0.059,171.76,World Bank World Development Indicators API v2
2005,13.518,33.768,0.057,156.532,World Bank World Development Indicators API v2
2006,13.361,33.214,0.058,143.579,World Bank World Development Indicators API v2
2007,13.607,32.566,0.058,159.308,World Bank World Development Indicators API v2
2008,14.516,32.366,0.059,104.973,World Bank World Development Indicators API v2
2009,14.54,32.377,0.058,121.445,World Bank World Development Indicators API v2
2010,13.749,31.532,0.055,151.435,World Bank World Development Indicators API v2
2011,14.096,31.279,0.055,144.861,World Bank World Development Indicators API v2
2012,13.096,30.83,0.056,118.351,World Bank World Development Indicators API v2
2013,12.473,29.718,0.055,155.875,World Bank World Development Indicators API v2
2014,12.272,29.08,0.054,157.343,World Bank World Development Indicators API v2
2015,10.996,27.851,0.053,139.423,World Bank World Development Indicators API v2
2016,10.205,26.723,0.052,169.625,World Bank World Development Indicators API v2
2017,10.183,25.181,0.052,212.599,World Bank World Development Indicators API v2
2018,9.65,24.034,0.051,169.001,World Bank World Development Indicators API v2
2019,8.82,22.605,0.05,195.484,World Bank World Development Indicators API v2
2020,10.185,24.508,0.05,217.111,World Bank World Development Indicators API v2
2021,10.069,24.326,0.049,232.025,World Bank World Development Indicators API v2
2022,9.552,22.836,0.049,285.425,World Bank World Development Indicators API v2
2023,9.4,22.037,0.049,199.449,World Bank World Development Indicators API v2
2024,9.087,21.186,,,World Bank World Development Indicators API v2
2025,8.592,20.488,,,World Bank World Development Indicators API v2
