item,year,element,value,unit,source
Buffalo,1961,Stocks,3452000.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1962,Stocks,3471800.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1963,Stocks,3323100.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1964,Stocks,3190700.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1965,Stocks,3345600.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1966,Stocks,3633000.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1967,Stocks,3926100.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1968,Stocks,4173400.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1969,Stocks,4368700.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1970,Stocks,4431500.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1971,Stocks,4555700.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1972,Stocks,4711100.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1973,Stocks,4937000.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1974,Stocks,4200000.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1975,Stocks,3500000.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1976,Stocks,2724680.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1977,Stocks,2897390.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1978,Stocks,2958720.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1979,Stocks,2803260.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1980,Stocks,2870270.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1981,Stocks,2849940.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1982,Stocks,2908450.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1983,Stocks,2946150.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1984,Stocks,3021650.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1985,Stocks,2982840.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1986,Stocks,2984450.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
Buffalo,1987,Stocks,2865260.0,An,FAOSTAT Production_Crops_Livestock (Asia bulk)
