item,year,element,value,unit,source
"Abaca, manila hemp, raw",1961,Production,91500.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1962,Production,106700.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1963,Production,134285.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1964,Production,117500.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1965,Production,107800.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1966,Production,135300.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1967,Production,117600.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1968,Production,103400.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1969,Production,105900.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1970,Production,122400.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1971,Production,104600.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1972,Production,110100.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1973,Production,119226.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1974,Production,125876.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1975,Production,133556.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1976,Production,139337.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1977,Production,150574.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1978,Production,129760.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1979,Production,148349.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1980,Production,157179.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1981,Production,128300.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1982,Production,119740.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1983,Production,89303.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1984,Production,88983.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1985,Production,82214.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1986,Production,83614.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1987,Production,81979.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1988,Production,84100.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1989,Production,66000.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1990,Production,59418.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1991,Production,63991.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1992,Production,62684.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1993,Production,59517.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1994,Production,66410.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1995,Production,64833.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1996,Production,70431.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1997,Production,67110.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1998,Production,71217.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1999,Production,73125.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2000,Production,77180.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2001,Production,72861.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2002,Production,63028.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2003,Production,69765.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2004,Production,74465.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2005,Production,74014.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2006,Production,69802.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2007,Production,66437.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2008,Production,68386.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2009,Production,65825.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2010,Production,66512.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2011,Production,68612.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2012,Production,68510.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2013,Production,64951.6,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2014,Production,68053.0,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2015,Production,70442.4,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2016,Production,71933.53,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2017,Production,68934.32,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2018,Production,71627.33,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2019,Production,72333.84,tonnes,FAOSTAT Production_Crops_Livestock (Asia bulk)
