country,year,yield,unit,source
"China, mainland",1961,2043.4,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1962,2340.8,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1963,2664.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1964,2806.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1965,2944.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1966,3127.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1967,3081.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1968,3165.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1969,3126.9,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1970,3402.5,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1971,3302.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1972,3228.8,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1973,3472.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1974,3492.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1975,3517.8,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1976,3477.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1977,3622.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1978,3978.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1979,4248.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1980,4133.8,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1981,4328.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1982,4891.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1983,5096.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1984,5372.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1985,5256.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1986,5337.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1987,5413.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1988,5286.8,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1989,5508.5,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1990,5726.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1991,5640.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1992,5803.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1993,5847.9,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1994,5831.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1995,6024.8,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1996,6212.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1997,6319.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1998,6366.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",1999,6344.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2000,6271.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2001,6163.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2002,6189.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2003,6060.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2004,6310.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2005,6260.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2006,6279.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2007,6433.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2008,6562.5,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2009,6585.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2010,6553.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2011,6687.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2012,6776.9,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2013,6717.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2014,6813.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2015,6891.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2016,6865.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2017,6916.9,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2018,7026.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2019,7060.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2020,7043.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2021,7113.5,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2022,7079.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"China, mainland",2023,7136.8,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
