item,year,element,value,unit,source
"Abaca, manila hemp, raw",1961,Yield,500.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1962,Yield,586.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1963,Yield,636.4,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1964,Yield,589.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1965,Yield,544.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1966,Yield,683.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1967,Yield,631.9,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1968,Yield,605.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1969,Yield,612.4,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1970,Yield,707.4,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1971,Yield,673.5,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1972,Yield,758.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1973,Yield,730.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1974,Yield,740.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1975,Yield,743.4,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1976,Yield,571.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1977,Yield,601.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1978,Yield,532.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1979,Yield,632.1,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1980,Yield,666.4,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1981,Yield,557.5,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1982,Yield,579.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1983,Yield,524.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1984,Yield,521.4,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1985,Yield,499.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1986,Yield,728.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1987,Yield,714.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1988,Yield,776.5,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1989,Yield,628.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1990,Yield,579.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1991,Yield,613.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1992,Yield,613.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1993,Yield,582.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1994,Yield,644.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1995,Yield,613.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1996,Yield,605.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1997,Yield,596.8,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1998,Yield,670.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",1999,Yield,656.5,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2000,Yield,722.6,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2001,Yield,680.0,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2002,Yield,516.9,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2003,Yield,574.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2004,Yield,584.2,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2005,Yield,544.4,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2006,Yield,513.7,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2007,Yield,488.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
"Abaca, manila hemp, raw",2008,Yield,497.3,kg/ha,FAOSTAT Production_Crops_Livestock (Asia bulk)
