year,expense_pct_gdp,revenue_ex_grants_pct_gdp,tax_revenue_pct_gdp,net_lending_pct_gdp,interest_pct_of_expense,gdp_current_php,expense_php_derived,revenue_php_derived,perimeter,derivation,source
1990,14.707,14.184,12.355,-2.466,39.379,1227881702400,180584561972,174162740668,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1991,14.027,14.999,12.81,-1.313,37.536,1422957514100,199598250503,213429397540,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1992,14.207,15.484,13.539,-1.487,36.319,1541524165900,219004338249,238689601848,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1993,13.942,15.286,13.681,-0.713,32.61,1682420868700,234563117514,257174853989,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1994,,15.808,14.038,,,1932662420900,,305515275496,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1995,,15.501,14.266,,,2176583797800,,337392254497,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1996,,16.291,14.827,,,2481303646200,,404229177002,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1997,,16.611,14.861,,,2773375100600,,460685337961,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1998,,15.114,13.675,,,3046222105600,,460406009040,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
1999,,14.16,12.895,,,3347587190100,,474018346118,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2000,15.704,13.983,12.44,-4.045,28.069,3697556205400,580664226496,517029284201,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2001,16.376,14.184,12.266,-4.026,30.283,4024398940200,659035570447,570820745678,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2002,16.24,13.314,11.668,-5.046,28.41,4350559772100,706530906989,579233528057,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2003,16.304,13.577,11.666,-4.345,31.44,4717808940500,769191569659,640536919852,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2004,15.248,13.315,11.364,-3.693,34.298,5323904177200,811788908939,708877841194,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2005,16.508,13.782,11.924,-4.253,32.307,5917282301200,976824962282,815519846751,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2006,14.575,14.888,13.127,-1.198,33.864,6550417112900,954723294205,975226099769,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2007,13.888,14.55,12.96,-1.355,27.739,7198244887800,999692250018,1047344631175,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2008,13.582,14.567,13.034,-1.152,25.871,8050200620600,1093378248290,1172672724403,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2009,14.509,13.383,11.699,-3.602,23.73,8390421456300,1217366249095,1122890103497,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2010,13.794,12.847,11.635,-3.315,23.357,9399450758100,1296560237572,1207547438893,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2011,13.521,13.398,11.849,-1.688,20.631,10144661326800,1371659657997,1359181724565,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2012,13.545,13.803,12.306,-1.861,21.126,11060588830600,1498156757105,1526693076288,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2013,13.207,14.216,12.744,-1.162,20.406,12050591984300,1591521683367,1713112156488,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2014,12.822,14.435,13.016,-0.474,19.135,13206828251700,1693379518433,1906405658133,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2015,13.477,14.677,13.02,-1.275,16.693,13944157447800,1879254099240,2046583988614,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2016,13.435,14.51,13.087,-2.183,15.157,15132381470200,2033035450521,2195708551326,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2017,13.613,14.932,13.594,-2.116,13.778,16556651083200,2253856911956,2472239139743,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2018,14.213,15.518,14.048,-3.094,13.452,18265190258200,2596031491398,2834392224267,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2019,14.807,16.069,14.488,-3.283,12.487,19517863171700,2890009999834,3136325433060,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2020,19.56,15.905,13.951,-7.448,10.834,17951573570000,3511327790292,2855197776308,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2021,19.139,15.481,14.13,-8.269,11.559,19410614486200,3714997506514,3004957228609,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2022,18.607,16.083,14.619,-7.161,12.268,22028276337700,4098801378156,3542807683392,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2023,16.881,15.722,14.104,-6.11,15.309,24313563194839,4104372602921,3822578405493,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2024,,16.693,14.37,-5.678,,26449443030971,,4415205525160,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
2025,,,,,,28009934791896,,,central government,derived: share of GDP x GDP in current PHP,World Bank World Development Indicators API v2
