metric,perimeter,first_year,last_year,points,gap_years_inside_range,source
expense_pct_gdp,central government,1990,2023,28,6,World Bank World Development Indicators API v2
revenue_ex_grants_pct_gdp,central government,1990,2024,35,0,World Bank World Development Indicators API v2
tax_revenue_pct_gdp,central government,1990,2024,35,0,World Bank World Development Indicators API v2
net_lending_pct_gdp,central government,1990,2024,29,6,World Bank World Development Indicators API v2
interest_pct_of_expense,central government,1990,2023,28,6,World Bank World Development Indicators API v2
gdp_current_php,central government,1990,2025,36,0,World Bank World Development Indicators API v2
gross_debt_pct_gdp,general government,1993,2031,39,0,IMF DataMapper API v1 (World Economic Outlook)
net_lending_pct_gdp,general government,1989,2031,43,0,IMF DataMapper API v1 (World Economic Outlook)
revenue_pct_gdp,general government,1946,2024,79,0,IMF DataMapper API v1 (World Economic Outlook)
expenditure_pct_gdp,general government,1946,2024,79,0,IMF DataMapper API v1 (World Economic Outlook)
