year,metric,value_pct_gdp,basis,perimeter,source
1993,gross_debt_pct_gdp,73.9,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1994,gross_debt_pct_gdp,63.6,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1995,gross_debt_pct_gdp,60.8,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1996,gross_debt_pct_gdp,53.1,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1997,gross_debt_pct_gdp,56.9,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1998,gross_debt_pct_gdp,50.8,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1999,gross_debt_pct_gdp,54.2,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2000,gross_debt_pct_gdp,59.2,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2001,gross_debt_pct_gdp,59.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2002,gross_debt_pct_gdp,65.2,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2003,gross_debt_pct_gdp,71.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2004,gross_debt_pct_gdp,71.1,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2005,gross_debt_pct_gdp,64.7,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2006,gross_debt_pct_gdp,57.2,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2007,gross_debt_pct_gdp,50.2,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2008,gross_debt_pct_gdp,50,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2009,gross_debt_pct_gdp,49.8,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2010,gross_debt_pct_gdp,47.6,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2011,gross_debt_pct_gdp,45.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2012,gross_debt_pct_gdp,45.7,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2013,gross_debt_pct_gdp,43.9,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2014,gross_debt_pct_gdp,40.3,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2015,gross_debt_pct_gdp,39.7,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2016,gross_debt_pct_gdp,37.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2017,gross_debt_pct_gdp,38.1,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2018,gross_debt_pct_gdp,37.1,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2019,gross_debt_pct_gdp,37,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2020,gross_debt_pct_gdp,51.6,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2021,gross_debt_pct_gdp,57,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2022,gross_debt_pct_gdp,57.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2023,gross_debt_pct_gdp,56.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2024,gross_debt_pct_gdp,56.6,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2025,gross_debt_pct_gdp,59.4,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2026,gross_debt_pct_gdp,60.2,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2027,gross_debt_pct_gdp,59.9,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2028,gross_debt_pct_gdp,59.2,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2029,gross_debt_pct_gdp,58,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2030,gross_debt_pct_gdp,56.4,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2031,gross_debt_pct_gdp,54.7,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
1989,net_lending_pct_gdp,-1.6,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1990,net_lending_pct_gdp,-1.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1991,net_lending_pct_gdp,-0.3,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1992,net_lending_pct_gdp,-0.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1993,net_lending_pct_gdp,0.6,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1994,net_lending_pct_gdp,-0.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1995,net_lending_pct_gdp,0,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1996,net_lending_pct_gdp,0.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1997,net_lending_pct_gdp,0.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1998,net_lending_pct_gdp,-1.3,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1999,net_lending_pct_gdp,-2.3,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2000,net_lending_pct_gdp,-3.3,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2001,net_lending_pct_gdp,-3.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2002,net_lending_pct_gdp,-3.7,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2003,net_lending_pct_gdp,-3.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2004,net_lending_pct_gdp,-2.8,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2005,net_lending_pct_gdp,-1.6,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2006,net_lending_pct_gdp,0,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2007,net_lending_pct_gdp,-0.3,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2008,net_lending_pct_gdp,0,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2009,net_lending_pct_gdp,-2.6,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2010,net_lending_pct_gdp,-2.3,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2011,net_lending_pct_gdp,-0.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2012,net_lending_pct_gdp,-0.2,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2013,net_lending_pct_gdp,0.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2014,net_lending_pct_gdp,1.3,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2015,net_lending_pct_gdp,0.1,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2016,net_lending_pct_gdp,-0.7,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2017,net_lending_pct_gdp,-0.8,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2018,net_lending_pct_gdp,-1.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2019,net_lending_pct_gdp,-1.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2020,net_lending_pct_gdp,-5.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2021,net_lending_pct_gdp,-6.2,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2022,net_lending_pct_gdp,-5.5,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2023,net_lending_pct_gdp,-4.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2024,net_lending_pct_gdp,-4.4,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2025,net_lending_pct_gdp,-4,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2026,net_lending_pct_gdp,-3.7,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2027,net_lending_pct_gdp,-2.8,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2028,net_lending_pct_gdp,-2.5,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2029,net_lending_pct_gdp,-2.1,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2030,net_lending_pct_gdp,-1.6,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
2031,net_lending_pct_gdp,-1.5,projection,general government,IMF DataMapper API v1 (World Economic Outlook)
1946,revenue_pct_gdp,5.739,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1947,revenue_pct_gdp,6.333,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1948,revenue_pct_gdp,6.111,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1949,revenue_pct_gdp,5.348,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1950,revenue_pct_gdp,7.043,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1951,revenue_pct_gdp,9.167,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1952,revenue_pct_gdp,7.939,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1953,revenue_pct_gdp,7.709,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1954,revenue_pct_gdp,8.078,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1955,revenue_pct_gdp,8.396,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1956,revenue_pct_gdp,8.808,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1957,revenue_pct_gdp,8.254,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1958,revenue_pct_gdp,8.225,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1959,revenue_pct_gdp,8.985,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1960,revenue_pct_gdp,9.021,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1961,revenue_pct_gdp,9.307,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1962,revenue_pct_gdp,10.398,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1963,revenue_pct_gdp,9.704,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1964,revenue_pct_gdp,8.67,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1965,revenue_pct_gdp,7.949,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1966,revenue_pct_gdp,9.031,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1967,revenue_pct_gdp,8.803,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1968,revenue_pct_gdp,8.916,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1969,revenue_pct_gdp,8.81,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1970,revenue_pct_gdp,10.142,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1971,revenue_pct_gdp,10.2,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1972,revenue_pct_gdp,16.774,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1973,revenue_pct_gdp,16.459,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1974,revenue_pct_gdp,16.683,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1975,revenue_pct_gdp,15.192,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1976,revenue_pct_gdp,13.259,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1977,revenue_pct_gdp,12.857,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1978,revenue_pct_gdp,13.315,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1979,revenue_pct_gdp,13.41,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1980,revenue_pct_gdp,13.975,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1981,revenue_pct_gdp,12.589,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1982,revenue_pct_gdp,11.893,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1983,revenue_pct_gdp,12.276,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1984,revenue_pct_gdp,10.782,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1985,revenue_pct_gdp,11.993,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1986,revenue_pct_gdp,12.923,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1987,revenue_pct_gdp,14.641,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1988,revenue_pct_gdp,13.141,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1989,revenue_pct_gdp,14.085,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1990,revenue_pct_gdp,17.289,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1991,revenue_pct_gdp,17.78,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1992,revenue_pct_gdp,17.987,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1993,revenue_pct_gdp,18.219,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1994,revenue_pct_gdp,19.238,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1995,revenue_pct_gdp,19.087,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1996,revenue_pct_gdp,20.158,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1997,revenue_pct_gdp,20.654,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1998,revenue_pct_gdp,19.028,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1999,revenue_pct_gdp,18.462,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2000,revenue_pct_gdp,17.535,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2001,revenue_pct_gdp,17.522,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2002,revenue_pct_gdp,16.851,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2003,revenue_pct_gdp,16.92,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2004,revenue_pct_gdp,16.563,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2005,revenue_pct_gdp,17.116,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2006,revenue_pct_gdp,18.236,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2007,revenue_pct_gdp,17.899,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2008,revenue_pct_gdp,17.901,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2009,revenue_pct_gdp,16.64,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2010,revenue_pct_gdp,16.095,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2011,revenue_pct_gdp,16.838,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2012,revenue_pct_gdp,17.486,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2013,revenue_pct_gdp,17.694,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2014,revenue_pct_gdp,18.153,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2015,revenue_pct_gdp,17.93,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2016,revenue_pct_gdp,18.267,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2017,revenue_pct_gdp,18.706,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2018,revenue_pct_gdp,19.429,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2019,revenue_pct_gdp,20.217,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2020,revenue_pct_gdp,20.374,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2021,revenue_pct_gdp,20.967,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2022,revenue_pct_gdp,20.406,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2023,revenue_pct_gdp,20.282,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
2024,revenue_pct_gdp,21.162,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1946,expenditure_pct_gdp,8.283,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1947,expenditure_pct_gdp,6.281,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1948,expenditure_pct_gdp,6.762,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1949,expenditure_pct_gdp,7.682,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1950,expenditure_pct_gdp,7.229,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1951,expenditure_pct_gdp,7.667,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1952,expenditure_pct_gdp,7.451,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1953,expenditure_pct_gdp,8.593,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1954,expenditure_pct_gdp,8.867,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1955,expenditure_pct_gdp,9.698,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1956,expenditure_pct_gdp,9.577,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1957,expenditure_pct_gdp,8.816,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1958,expenditure_pct_gdp,8.433,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1959,expenditure_pct_gdp,9.13,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1960,expenditure_pct_gdp,10.079,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1961,expenditure_pct_gdp,9.601,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1962,expenditure_pct_gdp,10.83,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1963,expenditure_pct_gdp,10.387,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1964,expenditure_pct_gdp,9.66,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
1965,expenditure_pct_gdp,9.481,actual,general government,IMF DataMapper API v1 (World Economic Outlook)
