year,month,cases,deaths,mean_stringency,mean_positive_rate_pct,as_of,source
2020,1,1,0,3.1,,2026-07-19,"Our World in Data, compact.csv"
2020,2,2,1,23.8,,2026-07-19,"Our World in Data, compact.csv"
2020,3,1543,87,64.8,,2026-07-19,"Our World in Data, compact.csv"
2020,4,6666,470,100.0,8.68,2026-07-19,"Our World in Data, compact.csv"
2020,5,9012,392,94.5,3.66,2026-07-19,"Our World in Data, compact.csv"
2020,6,19214,305,78.8,5.5,2026-07-19,"Our World in Data, compact.csv"
2020,7,52853,728,77.4,6.65,2026-07-19,"Our World in Data, compact.csv"
2020,8,128086,1537,75.2,11.74,2026-07-19,"Our World in Data, compact.csv"
2020,9,91891,1928,67.1,9.3,2026-07-19,"Our World in Data, compact.csv"
2020,10,69658,1737,68.3,7.15,2026-07-19,"Our World in Data, compact.csv"
2020,11,50931,1188,69.0,5.77,2026-07-19,"Our World in Data, compact.csv"
2020,12,42666,857,66.8,4.72,2026-07-19,"Our World in Data, compact.csv"
2021,1,53091,1439,71.6,5.31,2026-07-19,"Our World in Data, compact.csv"
2021,2,50730,1620,72.2,5.2,2026-07-19,"Our World in Data, compact.csv"
2021,3,170923,902,74.5,9.94,2026-07-19,"Our World in Data, compact.csv"
2021,4,290160,4043,78.0,18.96,2026-07-19,"Our World in Data, compact.csv"
2021,5,192863,3732,69.9,13.06,2026-07-19,"Our World in Data, compact.csv"
2021,6,182252,3696,73.7,12.44,2026-07-19,"Our World in Data, compact.csv"
2021,7,176412,3227,71.5,11.2,2026-07-19,"Our World in Data, compact.csv"
2021,8,400785,5559,77.4,18.47,2026-07-19,"Our World in Data, compact.csv"
2021,9,560182,4846,74.8,25.24,2026-07-19,"Our World in Data, compact.csv"
2021,10,237337,4878,76.6,16.36,2026-07-19,"Our World in Data, compact.csv"
2021,11,45280,5373,67.6,5.27,2026-07-19,"Our World in Data, compact.csv"
2021,12,11331,2959,66.1,1.0,2026-07-19,"Our World in Data, compact.csv"
2022,1,716303,2499,64.1,29.02,2026-07-19,"Our World in Data, compact.csv"
2022,2,101820,2448,58.0,17.91,2026-07-19,"Our World in Data, compact.csv"
2022,3,15801,2798,57.6,2.99,2026-07-19,"Our World in Data, compact.csv"
2022,4,7463,1092,28.8,1.34,2026-07-19,"Our World in Data, compact.csv"
2022,5,5325,114,30.8,0.89,2026-07-19,"Our World in Data, compact.csv"
2022,6,13826,100,30.6,0.96,2026-07-19,"Our World in Data, compact.csv"
2022,7,68061,182,30.5,,2026-07-19,"Our World in Data, compact.csv"
2022,8,106203,1127,30.5,,2026-07-19,"Our World in Data, compact.csv"
2022,9,66895,1052,30.4,,2026-07-19,"Our World in Data, compact.csv"
2022,10,57800,1193,30.3,,2026-07-19,"Our World in Data, compact.csv"
