year,cases,deaths,cfr_pct,coverage,source
2016,209544,8127,3.88,full year,HDX DOH-Epi 2016-2021
2017,154155,4563,2.96,full year,HDX DOH-Epi 2016-2021
2018,250783,1226,0.49,full year,HDX DOH-Epi 2016-2021
2019,441902,1733,0.39,full year,HDX DOH-Epi 2016-2021 (outbreak year)
2020,91041,1195,1.31,full year,HDX DOH-Epi 2016-2021 (COVID lockdown effect)
2021,2087,8,0.38,Jan only,HDX DOH-Epi 2016-2021 (incomplete)
2022,252700,,,full year,DOH press release (Statista 2022)
2023,195603,,,full year,DOH press release
2024,269467,,,Jan-Oct,DOH press release (Oct 4 2024)
2025,62313,,,Jan-Mar,DOH press release (Mar 1 2025)
2026,14907,,,Jan-mid Feb,DOH press release (mid-Feb 2026)
