run_accession,study_accession,serotype,year,instrument_platform,instrument_model,center_name,library_strategy,read_count,source
ERR3790215,PRJEB35896,unspecified,2014,OXFORD_NANOPORE,MinION,Cambridge Department of Veterinary Medicine,AMPLICON,10272,ENA portal API
ERR3790216,PRJEB35896,unspecified,2014,OXFORD_NANOPORE,MinION,Cambridge Department of Veterinary Medicine,AMPLICON,15704,ENA portal API
ERR3790290,PRJEB35896,unspecified,2014,ILLUMINA,Illumina MiSeq,Cambridge Department of Veterinary Medicine,AMPLICON,462128,ENA portal API
ERR3790291,PRJEB35896,unspecified,2014,ILLUMINA,Illumina MiSeq,Cambridge Department of Veterinary Medicine,AMPLICON,505036,ENA portal API
SRR25773845,PRJNA1009983,DENV-1,2014,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,77760,ENA portal API
SRR25773851,PRJNA1009983,DENV-1,2014,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,149270,ENA portal API
SRR25773862,PRJNA1009983,DENV-1,2014,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,118515,ENA portal API
SRR25773863,PRJNA1009983,DENV-1,2014,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,67780,ENA portal API
SRR25782291,PRJNA1009983,unspecified,2014,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,56988,ENA portal API
SRR25782301,PRJNA1009983,unspecified,2014,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,90163,ENA portal API
SRR25782302,PRJNA1009983,unspecified,2014,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,170348,ENA portal API
SRR25782376,PRJNA1009983,unspecified,2014,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,153544,ENA portal API
ERR3790218,PRJEB35896,unspecified,2015,OXFORD_NANOPORE,MinION,Cambridge Department of Veterinary Medicine,AMPLICON,7473,ENA portal API
ERR3790293,PRJEB35896,unspecified,2015,ILLUMINA,Illumina MiSeq,Cambridge Department of Veterinary Medicine,AMPLICON,518455,ENA portal API
SRR25773839,PRJNA1009983,DENV-1,2015,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,149029,ENA portal API
SRR25773840,PRJNA1009983,DENV-1,2015,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,20165,ENA portal API
SRR25773841,PRJNA1009983,DENV-1,2015,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,66631,ENA portal API
SRR25773842,PRJNA1009983,DENV-1,2015,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,12288,ENA portal API
SRR25773843,PRJNA1009983,DENV-1,2015,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,86665,ENA portal API
SRR25773844,PRJNA1009983,DENV-1,2015,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,119267,ENA portal API
SRR25782284,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,155004,ENA portal API
SRR25782285,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,184589,ENA portal API
SRR25782286,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,290971,ENA portal API
SRR25782287,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,271924,ENA portal API
SRR25782288,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,247433,ENA portal API
SRR25782289,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,166730,ENA portal API
SRR25782290,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,49162,ENA portal API
SRR25782300,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,155517,ENA portal API
SRR25782307,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,51320,ENA portal API
SRR25782308,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,17318,ENA portal API
SRR25782309,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,94086,ENA portal API
SRR25782320,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,56528,ENA portal API
SRR25782331,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,30555,ENA portal API
SRR25782342,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,27595,ENA portal API
SRR25782353,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,114396,ENA portal API
SRR25782364,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,60089,ENA portal API
SRR25782371,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,129141,ENA portal API
SRR25782372,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,203552,ENA portal API
SRR25782373,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,127266,ENA portal API
SRR25782374,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,62195,ENA portal API
SRR25782375,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,126008,ENA portal API
SRR25782488,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802693,AMPLICON,171200,ENA portal API
SRR25782489,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802693,AMPLICON,117907,ENA portal API
SRR25782490,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802693,AMPLICON,125063,ENA portal API
SRR25782491,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802693,AMPLICON,186061,ENA portal API
SRR25782495,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802693,AMPLICON,309023,ENA portal API
SRR25782496,PRJNA1009983,unspecified,2015,ILLUMINA,Illumina MiSeq,SUB13802693,AMPLICON,67196,ENA portal API
ERR3790217,PRJEB35896,unspecified,2016,OXFORD_NANOPORE,MinION,Cambridge Department of Veterinary Medicine,AMPLICON,18897,ENA portal API
ERR3790292,PRJEB35896,unspecified,2016,ILLUMINA,Illumina MiSeq,Cambridge Department of Veterinary Medicine,AMPLICON,578047,ENA portal API
SRR25773860,PRJNA1009983,DENV-1,2016,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,252029,ENA portal API
SRR25773861,PRJNA1009983,DENV-1,2016,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,246150,ENA portal API
SRR25782297,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,176257,ENA portal API
SRR25782298,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,338121,ENA portal API
SRR25782299,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,118978,ENA portal API
SRR25782366,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,96650,ENA portal API
SRR25782367,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,246550,ENA portal API
SRR25782368,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,249117,ENA portal API
SRR25782369,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,119971,ENA portal API
SRR25782370,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,105662,ENA portal API
SRR25782487,PRJNA1009983,unspecified,2016,ILLUMINA,Illumina MiSeq,SUB13802693,AMPLICON,161202,ENA portal API
SRR25773857,PRJNA1009983,DENV-1,2017,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,310923,ENA portal API
SRR25773858,PRJNA1009983,DENV-1,2017,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,130721,ENA portal API
SRR25773859,PRJNA1009983,DENV-1,2017,ILLUMINA,Illumina MiSeq,SUB13792070,AMPLICON,132170,ENA portal API
SRR25782296,PRJNA1009983,unspecified,2017,ILLUMINA,Illumina MiSeq,SUB13802573,AMPLICON,260571,ENA portal API
SRR25782348,PRJNA1009983,unspecified,2017,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,216900,ENA portal API
SRR25782349,PRJNA1009983,unspecified,2017,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,201012,ENA portal API
SRR25782350,PRJNA1009983,unspecified,2017,ILLUMINA,Illumina MiSeq,SUB13802645,AMPLICON,249562,ENA portal API
