year,denv1,denv2,denv3,denv4,unspecified,total,denv1_share_pct,denv2_share_pct,denv3_share_pct,denv4_share_pct,dominant,source
1993,0,1,0,0,0,1,0.0,100.0,0.0,0.0,DENV-2,ENA portal API
1994,0,1,0,0,0,1,0.0,100.0,0.0,0.0,DENV-2,ENA portal API
1995,0,3,5,0,0,8,0.0,37.5,62.5,0.0,DENV-3,ENA portal API
1996,0,4,1,1,0,6,0.0,66.7,16.7,16.7,DENV-2,ENA portal API
1997,0,0,3,0,0,3,0.0,0.0,100.0,0.0,DENV-3,ENA portal API
1998,1,1,5,0,0,7,14.3,14.3,71.4,0.0,DENV-3,ENA portal API
1999,3,2,1,1,0,7,42.9,28.6,14.3,14.3,DENV-1,ENA portal API
2000,4,18,0,0,0,22,18.2,81.8,0.0,0.0,DENV-2,ENA portal API
2001,6,7,3,0,0,16,37.5,43.8,18.8,0.0,DENV-2,ENA portal API
2002,10,3,0,0,0,13,76.9,23.1,0.0,0.0,DENV-1,ENA portal API
2003,26,2,2,1,0,31,83.9,6.5,6.5,3.2,DENV-1,ENA portal API
2004,3,4,2,2,0,11,27.3,36.4,18.2,18.2,DENV-2,ENA portal API
2005,3,48,13,2,0,66,4.5,72.7,19.7,3.0,DENV-2,ENA portal API
2006,1,2,24,0,0,27,3.7,7.4,88.9,0.0,DENV-3,ENA portal API
2007,1,1,1,0,0,3,33.3,33.3,33.3,0.0,tie: DENV-1/DENV-2/DENV-3,ENA portal API
2008,2,6,33,2,0,43,4.7,14.0,76.7,4.7,DENV-3,ENA portal API
2009,5,14,16,2,0,37,13.5,37.8,43.2,5.4,DENV-3,ENA portal API
2010,23,27,21,5,0,76,30.3,35.5,27.6,6.6,DENV-2,ENA portal API
2011,20,8,15,2,1,46,43.5,17.4,32.6,4.3,DENV-1,ENA portal API
2012,82,11,20,10,5,128,64.1,8.6,15.6,7.8,DENV-1,ENA portal API
2013,39,47,1,24,0,111,35.1,42.3,0.9,21.6,DENV-2,ENA portal API
2014,27,15,1,5,0,48,56.2,31.2,2.1,10.4,DENV-1,ENA portal API
2015,52,21,4,6,1,84,61.9,25.0,4.8,7.1,DENV-1,ENA portal API
2016,4,1,2,1,0,8,50.0,12.5,25.0,12.5,DENV-1,ENA portal API
2017,3,0,17,4,1,25,12.0,0.0,68.0,16.0,DENV-3,ENA portal API
2018,32,16,51,3,0,102,31.4,15.7,50.0,2.9,DENV-3,ENA portal API
2019,28,26,40,22,0,116,24.1,22.4,34.5,19.0,DENV-3,ENA portal API
2020,2,0,3,1,0,6,33.3,0.0,50.0,16.7,DENV-3,ENA portal API
2021,5,4,5,1,0,15,33.3,26.7,33.3,6.7,tie: DENV-1/DENV-3,ENA portal API
2022,1,4,0,0,0,5,20.0,80.0,0.0,0.0,DENV-2,ENA portal API
2023,120,72,139,49,0,380,31.6,18.9,36.6,12.9,DENV-3,ENA portal API
2024,27,20,75,15,0,137,19.7,14.6,54.7,10.9,DENV-3,ENA portal API
2025,1,1,0,0,0,2,50.0,50.0,0.0,0.0,tie: DENV-1/DENV-2,ENA portal API
