month,events,share_pct,events_ex_aftershocks,share_ex_aftershocks_pct,expected_pct,threshold,box,source
1,757,8.23,628,8.3,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
2,674,7.32,624,8.25,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
3,661,7.18,596,7.88,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
4,679,7.38,679,8.98,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
5,679,7.38,679,8.98,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
6,810,8.8,610,8.07,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
7,739,8.03,639,8.45,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
8,699,7.6,549,7.26,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
9,742,8.06,573,7.58,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
10,953,10.36,729,9.64,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
11,611,6.64,586,7.75,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
12,1199,13.03,670,8.86,8.33,M4.5+,"4-22N,116-128E",USGS FDSN event/1/query
