property,value,note,source
academic years,11,SY 2010-2011 to SY 2020-2021,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
regions,17,the Philippines has 17,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
rows,187,one per region per year,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
first year senior high appears,SY 2016-2017,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
column named G122 rather than G12,1,Enrollees_G122_SPORTs is a typo in the source; senior-high columns are matched by prefix so it is counted rather than dropped,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
private schools,0,DepEd counts public schools; roughly a tenth of Philippine basic education is private and is absent from every figure here,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
learning outcomes,0,"no test scores, no completion rates. Enrollment counts who is on a roll, not who is learning","Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
dropouts or repetition,0,"the file is a snapshot per year, so no pupil is followed between years and no cohort survival can be computed","Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
school or class counts,0,pupils per teacher is not class size: a teacher may take several classes and a class several teachers,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
enrollment change over the period,14.61,%,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
teacher change over the period,72.66,%,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
primary completion pct,91.45,"national, 2024, and outside the DepEd file","UNESCO Institute for Statistics, via World Bank WDI"
secondary net enrolment pct,65.56,"national, 2015, and outside the DepEd file","UNESCO Institute for Statistics, via World Bank WDI"
primary age out of school,1616165,"national, 2024, and outside the DepEd file","UNESCO Institute for Statistics, via World Bank WDI"
education spend pct gdp,3.97,"national, 2025, and outside the DepEd file","UNESCO Institute for Statistics, via World Bank WDI"
