academic_year,ay_start,level,enrollees,teachers,pupils_per_teacher,note,source
SY 2010-2011,2010,elementary,14238772,361564,39.38,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,junior high,5530370,146269,37.81,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,senior high,0,0,,not yet established,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,elementary,14898142,363955,40.93,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,junior high,5576065,150516,37.05,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,senior high,0,0,,not yet established,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,elementary,15032994,377831,39.79,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,junior high,5641898,169743,33.24,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,senior high,0,0,,not yet established,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2013-2014,2013,elementary,15111655,401913,37.6,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2013-2014,2013,junior high,5772578,201651,28.63,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2013-2014,2013,senior high,0,0,,not yet established,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2014-2015,2014,elementary,15077548,417848,36.08,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2014-2015,2014,junior high,5926031,219710,26.97,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2014-2015,2014,senior high,0,0,,not yet established,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2015-2016,2015,elementary,14852758,448966,33.08,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2015-2016,2015,junior high,6010937,243321,24.7,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2015-2016,2015,senior high,0,0,,not yet established,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,elementary,14440439,450134,32.08,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,junior high,6175948,237083,26.05,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,senior high,731981,36788,19.9,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,elementary,14237360,462299,30.8,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,junior high,6409327,246095,26.04,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,senior high,1395142,47179,29.57,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2018-2019,2018,elementary,14063605,484406,29.03,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2018-2019,2018,junior high,6840249,268527,25.47,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2018-2019,2018,senior high,1599637,55156,29.0,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2019-2020,2019,elementary,13743668,497200,27.64,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2019-2020,2019,junior high,7002433,277393,25.24,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2019-2020,2019,senior high,1766818,61600,28.68,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2020-2021,2020,elementary,13626891,514099,26.51,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2020-2021,2020,junior high,7042377,288687,24.39,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2020-2021,2020,senior high,1987180,74056,26.83,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
