academic_year,ay_start,regions,enrollees,enrollees_elem,enrollees_jhs,enrollees_shs,teachers,teachers_elem,teachers_jhs,teachers_shs,pupils_per_teacher,source
SY 2010-2011,2010,17,19769142,14238772,5530370,0,507833,361564,146269,0,38.93,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,17,20474207,14898142,5576065,0,514471,363955,150516,0,39.8,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,17,20674892,15032994,5641898,0,547574,377831,169743,0,37.76,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2013-2014,2013,17,20884233,15111655,5772578,0,603564,401913,201651,0,34.6,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2014-2015,2014,17,21003579,15077548,5926031,0,637558,417848,219710,0,32.94,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2015-2016,2015,17,20863695,14852758,6010937,0,692287,448966,243321,0,30.14,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,17,21348368,14440439,6175948,731981,724005,450134,237083,36788,29.49,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,17,22041829,14237360,6409327,1395142,755573,462299,246095,47179,29.17,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2018-2019,2018,17,22503491,14063605,6840249,1599637,808089,484406,268527,55156,27.85,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2019-2020,2019,17,22512919,13743668,7002433,1766818,836193,497200,277393,61600,26.92,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2020-2021,2020,17,22656448,13626891,7042377,1987180,876842,514099,288687,74056,25.84,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
