year,primary_completion_pct,primary_gross_enrolment_pct,secondary_gross_enrolment_pct,secondary_net_enrolment_pct,primary_age_out_of_school,education_spend_pct_gdp,adult_literacy_pct,tertiary_gross_enrolment_pct,source
1971,,99.54,44.33,,,,,16.34,"UNESCO Institute for Statistics, via World Bank WDI"
1972,,97.47,44.79,,,,,16.84,"UNESCO Institute for Statistics, via World Bank WDI"
1973,,95.65,44.98,,,,,16.72,"UNESCO Institute for Statistics, via World Bank WDI"
1974,,96.51,45.3,,,,,16.8,"UNESCO Institute for Statistics, via World Bank WDI"
1975,,97.99,47.27,,,,,15.87,"UNESCO Institute for Statistics, via World Bank WDI"
1976,,98.99,49.7,,918601,,,16.27,"UNESCO Institute for Statistics, via World Bank WDI"
1977,,100.59,52.91,,,,,16.49,"UNESCO Institute for Statistics, via World Bank WDI"
1978,,100.13,55.63,,,,,18.82,"UNESCO Institute for Statistics, via World Bank WDI"
1979,,103.03,57.13,46.21,880452,,,21.09,"UNESCO Institute for Statistics, via World Bank WDI"
1980,,101.19,58.24,,,1.51,83.32,21.35,"UNESCO Institute for Statistics, via World Bank WDI"
1981,79.32,105.09,57.77,,977784,,,22.37,"UNESCO Institute for Statistics, via World Bank WDI"
1982,,104.11,57.33,,921109,1.83,,22.82,"UNESCO Institute for Statistics, via World Bank WDI"
1983,84.0,103.74,59.71,,991672,1.48,,23.55,"UNESCO Institute for Statistics, via World Bank WDI"
1984,85.6,103.91,61.11,,991215,,,25.79,"UNESCO Institute for Statistics, via World Bank WDI"
1985,85.36,103.02,62.65,,671438,,,24.86,"UNESCO Institute for Statistics, via World Bank WDI"
1986,84.42,102.26,59.98,,733548,1.52,,22.37,"UNESCO Institute for Statistics, via World Bank WDI"
1987,84.47,102.88,63.3,,735306,,,21.49,"UNESCO Institute for Statistics, via World Bank WDI"
1988,84.32,104.66,64.03,,586140,,,22.83,"UNESCO Institute for Statistics, via World Bank WDI"
1989,86.11,106.02,67.69,,485924,,,24.44,"UNESCO Institute for Statistics, via World Bank WDI"
1990,87.31,106.47,70.71,,460200,,93.57,23.27,"UNESCO Institute for Statistics, via World Bank WDI"
1991,,105.01,70.34,,,,,25.92,"UNESCO Institute for Statistics, via World Bank WDI"
1992,,103.3,71.49,55.43,877636,,,25.01,"UNESCO Institute for Statistics, via World Bank WDI"
1993,,102.16,72.89,56.93,1037170,,,,"UNESCO Institute for Statistics, via World Bank WDI"
1994,,100.2,73.67,57.78,1253900,,93.92,,"UNESCO Institute for Statistics, via World Bank WDI"
1995,,99.32,74.84,,,2.66,,27.07,"UNESCO Institute for Statistics, via World Bank WDI"
1996,,102.64,73.72,58.01,1074385,2.94,,28.52,"UNESCO Institute for Statistics, via World Bank WDI"
1997,,103.28,72.88,,,3.08,,,"UNESCO Institute for Statistics, via World Bank WDI"
