academic_year,ay_start,enrollees,teachers,pupils_per_teacher,growth_pct,note,source
SY 2010-2011,2010,0,0,,,before senior high school existed,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,0,0,,,before senior high school existed,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,0,0,,,before senior high school existed,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2013-2014,2013,0,0,,,before senior high school existed,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2014-2015,2014,0,0,,,before senior high school existed,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2015-2016,2015,0,0,,,before senior high school existed,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,731981,36788,19.9,,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,1395142,47179,29.57,90.6,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2018-2019,2018,1599637,55156,29.0,14.66,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2019-2020,2019,1766818,61600,28.68,10.45,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2020-2021,2020,1987180,74056,26.83,12.47,,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
