academic_year,ay_start,track,track_name,enrollees,pct_of_shs,shs_total,source
SY 2016-2017,2016,A&D,Arts and Design,2457,0.34,731981,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,ABM,"Accountancy, Business and Management",59629,8.15,731981,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,GAS,General Academic Strand,200084,27.33,731981,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,HUMSS,Humanities and Social Sciences,64917,8.87,731981,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,MARITIME,Maritime,80,0.01,731981,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,SPORTs,Sports,1633,0.22,731981,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,STEM,"Science, Technology, Engineering and Mathematics",48445,6.62,731981,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2016-2017,2016,TVL,Technical-Vocational-Livelihood,354736,48.46,731981,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,A&D,Arts and Design,4692,0.34,1395142,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,ABM,"Accountancy, Business and Management",114874,8.23,1395142,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,GAS,General Academic Strand,383004,27.45,1395142,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,HUMSS,Humanities and Social Sciences,152063,10.9,1395142,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2017-2018,2017,MARITIME,Maritime,188,0.01,1395142,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
