race,rank,candidate,party,votes,share_of_valid_pct,revid,source
president,1,Bongbong Marcos,Partido Federal ng Pilipinas,31629783,58.7745,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,2,Leni Robredo,Independent,15035773,27.9395,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,3,Manny Pacquiao,PROMDI,3663113,6.8068,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,4,Isko Moreno,Aksyon Demokratiko,1933909,3.5936,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,5,Panfilo Lacson,Independent,892375,1.6582,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,6,Faisal Mangondato,Katipunan ng Kamalayang Kayumanggi,301629,0.5605,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,7,Ernesto Abella,Independent,114627,0.213,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,8,Leody de Guzman,Partido Lakas ng Masa,93027,0.1729,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,9,Norberto Gonzales,Partido Demokratiko Sosyalista ng Pilipinas,90656,0.1685,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,10,Jose Montemayor Jr.,Democratic Party of the Philippines,60592,0.1126,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
vice_president,1,Sara Duterte,Lakas–CMD,32208417,61.5299,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,2,Kiko Pangilinan,Liberal Party,9329207,17.8222,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,3,Tito Sotto,Nationalist People's Coalition,8251267,15.7629,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,4,Willie Ong,Aksyon Demokratiko,1878531,3.5887,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,5,Lito Atienza,PROMDI,270381,0.5165,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,6,Manny SD Lopez,Labor Party Philippines,159670,0.305,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,7,Walden Bello,Partido Lakas ng Masa,100827,0.1926,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,8,Carlos Serapio,Katipunan ng Kamalayang Kayumanggi,90989,0.1738,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,9,Rizalito David,Democratic Party of the Philippines,56711,0.1083,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
