race,region,candidate,votes,region_total,basis,revid,source
president,I,Marcos,2552114,3013569,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,I,Robredo,330436,3013569,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,I,Pacquiao,34528,3013569,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,I,Others,96491,3013569,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,CAR,Marcos,748395,897506,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,CAR,Robredo,88649,897506,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,CAR,Pacquiao,20206,897506,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,CAR,Others,40256,897506,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,II,Marcos,1608871,1866676,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,II,Robredo,168184,1866676,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,II,Pacquiao,31385,1866676,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,II,Others,58236,1866676,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,III,Marcos,3986906,6153667,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,III,Robredo,1652668,6153667,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,III,Pacquiao,110813,6153667,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,III,Others,403280,6153667,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,NCR,Marcos,3287785,5893375,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,NCR,Robredo,1817465,5893375,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,NCR,Pacquiao,92728,5893375,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,NCR,Others,695397,5893375,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,IV-A,Marcos,3547058,6298485,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,IV-A,Robredo,2036394,6298485,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,IV-A,Pacquiao,145075,6298485,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,IV-A,Others,569958,6298485,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,IV-B,Marcos,712329,1597425,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,IV-B,Robredo,530533,1597425,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,IV-B,Pacquiao,223256,1597425,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,IV-B,Others,131307,1597425,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,V,Marcos,566581,3204667,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
president,V,Robredo,2451454,3204667,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
