race,metric,value,note,revid,source
president,valid,53815484,,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,invalid,2213371,,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,electorate,67523697,,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,candidate_votes_sum,53815484,,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,turnout_pct,82.9766,valid + invalid over electorate,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
president,primary_source_urls,,http://legacy.senate.gov.ph/lisdata/3761634065!.pdf ; https://comelec.gov.ph/?r=2022NLE/Statistics/2022RVVAVmcocfinal ; https://comelec.gov.ph/?r=2022NLE/Statistics/2022OAVLAV,1346333302,Wikipedia Template:2022 Philippine presidential election results (revid 1346333302)
vice_president,valid,52346000,,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,invalid,3682855,,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,electorate,67523697,,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,candidate_votes_sum,52346000,,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,turnout_pct,82.9766,valid + invalid over electorate,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
vice_president,primary_source_urls,,http://legacy.senate.gov.ph/lisdata/3761634065!.pdf ; https://comelec.gov.ph/?r=2022NLE/Statistics/2022RVVAVmcocfinal ; https://comelec.gov.ph/?r=2022NLE/Statistics/2022OAVLAV,1297646023,Wikipedia Template:2022 Philippine vice presidential election results (revid 1297646023)
president,regional_table_votes,52633951,,,
president,regional_coverage_pct,97.8,share of the national valid vote present in the regional table,,
vice_president,regional_table_votes,52346000,,,
vice_president,regional_coverage_pct,100.0,share of the national valid vote present in the regional table,,
