year,source,share_pct,generation_twh,source_dataset
2000,Bioenergy,0.0,0.0,Ember yearly electricity
2000,Coal,36.777,16.66,Ember yearly electricity
2000,Gas,0.044,0.02,Ember yearly electricity
2000,Hydro,17.219,7.8,Ember yearly electricity
2000,Other fossil,20.287,9.19,Ember yearly electricity
2000,Other renewables,25.673,11.63,Ember yearly electricity
2000,Solar,0.0,0.0,Ember yearly electricity
2000,Wind,0.0,0.0,Ember yearly electricity
2001,Bioenergy,0.0,0.0,Ember yearly electricity
2001,Coal,39.936,18.79,Ember yearly electricity
2001,Gas,1.807,0.85,Ember yearly electricity
2001,Hydro,15.09,7.1,Ember yearly electricity
2001,Other fossil,20.978,9.87,Ember yearly electricity
2001,Other renewables,22.189,10.44,Ember yearly electricity
2001,Solar,0.0,0.0,Ember yearly electricity
2001,Wind,0.0,0.0,Ember yearly electricity
2002,Bioenergy,0.0,0.0,Ember yearly electricity
2002,Coal,33.285,16.13,Ember yearly electricity
2002,Gas,18.097,8.77,Ember yearly electricity
2002,Hydro,14.507,7.03,Ember yearly electricity
2002,Other fossil,12.98,6.29,Ember yearly electricity
2002,Other renewables,21.131,10.24,Ember yearly electricity
2002,Solar,0.0,0.0,Ember yearly electricity
2002,Wind,0.0,0.0,Ember yearly electricity
2003,Bioenergy,0.0,0.0,Ember yearly electricity
2003,Coal,28.221,14.94,Ember yearly electricity
2003,Gas,24.821,13.14,Ember yearly electricity
2003,Hydro,14.866,7.87,Ember yearly electricity
2003,Other fossil,13.544,7.17,Ember yearly electricity
2003,Other renewables,18.549,9.82,Ember yearly electricity
2003,Solar,0.0,0.0,Ember yearly electricity
2003,Wind,0.0,0.0,Ember yearly electricity
2004,Bioenergy,0.0,0.0,Ember yearly electricity
2004,Coal,28.942,16.19,Ember yearly electricity
2004,Gas,22.131,12.38,Ember yearly electricity
2004,Hydro,15.356,8.59,Ember yearly electricity
2004,Other fossil,15.195,8.5,Ember yearly electricity
2004,Other renewables,18.377,10.28,Ember yearly electricity
2004,Solar,0.0,0.0,Ember yearly electricity
2004,Wind,0.0,0.0,Ember yearly electricity
2005,Bioenergy,0.0,0.0,Ember yearly electricity
2005,Coal,26.975,15.26,Ember yearly electricity
2005,Gas,29.804,16.86,Ember yearly electricity
2005,Hydro,14.831,8.39,Ember yearly electricity
2005,Other fossil,10.854,6.14,Ember yearly electricity
2005,Other renewables,17.5,9.9,Ember yearly electricity
2005,Solar,0.0,0.0,Ember yearly electricity
2005,Wind,0.035,0.02,Ember yearly electricity
2006,Bioenergy,0.0,0.0,Ember yearly electricity
2006,Coal,26.928,15.29,Ember yearly electricity
2006,Gas,28.831,16.37,Ember yearly electricity
2006,Hydro,17.506,9.94,Ember yearly electricity
2006,Other fossil,8.207,4.66,Ember yearly electricity
2006,Other renewables,18.44,10.47,Ember yearly electricity
2006,Solar,0.0,0.0,Ember yearly electricity
2006,Wind,0.088,0.05,Ember yearly electricity
2007,Bioenergy,0.0,0.0,Ember yearly electricity
2007,Coal,28.246,16.84,Ember yearly electricity
2007,Gas,31.516,18.79,Ember yearly electricity
2007,Hydro,14.358,8.56,Ember yearly electricity
2007,Other fossil,8.638,5.15,Ember yearly electricity
2007,Other renewables,17.142,10.22,Ember yearly electricity
2007,Solar,0.0,0.0,Ember yearly electricity
2007,Wind,0.101,0.06,Ember yearly electricity
2008,Bioenergy,0.0,0.0,Ember yearly electricity
2008,Coal,25.896,15.75,Ember yearly electricity
2008,Gas,32.193,19.58,Ember yearly electricity
2008,Hydro,16.179,9.84,Ember yearly electricity
2008,Other fossil,8.007,4.87,Ember yearly electricity
2008,Other renewables,17.626,10.72,Ember yearly electricity
2008,Solar,0.0,0.0,Ember yearly electricity
2008,Wind,0.099,0.06,Ember yearly electricity
2009,Bioenergy,0.0,0.0,Ember yearly electricity
2009,Coal,26.615,16.48,Ember yearly electricity
2009,Gas,32.122,19.89,Ember yearly electricity
2009,Hydro,15.811,9.79,Ember yearly electricity
2009,Other fossil,8.689,5.38,Ember yearly electricity
2009,Other renewables,16.667,10.32,Ember yearly electricity
2009,Solar,0.0,0.0,Ember yearly electricity
2009,Wind,0.097,0.06,Ember yearly electricity
2010,Bioenergy,0.03,0.02,Ember yearly electricity
2010,Coal,34.401,23.3,Ember yearly electricity
2010,Gas,28.82,19.52,Ember yearly electricity
2010,Hydro,11.516,7.8,Ember yearly electricity
2010,Other fossil,10.483,7.1,Ember yearly electricity
2010,Other renewables,14.661,9.93,Ember yearly electricity
2010,Solar,0.0,0.0,Ember yearly electricity
2010,Wind,0.089,0.06,Ember yearly electricity
2011,Bioenergy,0.13,0.09,Ember yearly electricity
2011,Coal,36.645,25.34,Ember yearly electricity
2011,Gas,29.776,20.59,Ember yearly electricity
2011,Hydro,14.027,9.7,Ember yearly electricity
2011,Other fossil,4.917,3.4,Ember yearly electricity
2011,Other renewables,14.375,9.94,Ember yearly electricity
2011,Solar,0.0,0.0,Ember yearly electricity
2011,Wind,0.13,0.09,Ember yearly electricity
2012,Bioenergy,0.22,0.16,Ember yearly electricity
2012,Coal,38.771,28.26,Ember yearly electricity
2012,Gas,26.945,19.64,Ember yearly electricity
2012,Hydro,14.062,10.25,Ember yearly electricity
2012,Other fossil,5.831,4.25,Ember yearly electricity
2012,Other renewables,14.062,10.25,Ember yearly electricity
2012,Solar,0.0,0.0,Ember yearly electricity
2012,Wind,0.11,0.08,Ember yearly electricity
2013,Bioenergy,0.239,0.18,Ember yearly electricity
2013,Coal,42.643,32.08,Ember yearly electricity
2013,Gas,24.977,18.79,Ember yearly electricity
2013,Hydro,13.319,10.02,Ember yearly electricity
2013,Other fossil,5.968,4.49,Ember yearly electricity
2013,Other renewables,12.761,9.6,Ember yearly electricity
2013,Solar,0.0,0.0,Ember yearly electricity
2013,Wind,0.093,0.07,Ember yearly electricity
2014,Bioenergy,0.207,0.16,Ember yearly electricity
2014,Coal,42.794,33.05,Ember yearly electricity
2014,Gas,24.2,18.69,Ember yearly electricity
2014,Hydro,11.835,9.14,Ember yearly electricity
2014,Other fossil,7.393,5.71,Ember yearly electricity
2014,Other renewables,13.35,10.31,Ember yearly electricity
2014,Solar,0.026,0.02,Ember yearly electricity
