year,renewable_pct,fossil_pct,renewable_twh,fossil_twh,total_twh,source
2000,42.89,57.11,19.43,25.87,45.3,Ember yearly electricity
2001,37.28,62.72,17.54,29.51,47.05,Ember yearly electricity
2002,35.64,64.36,17.27,31.19,48.46,Ember yearly electricity
2003,33.42,66.59,17.69,35.25,52.94,Ember yearly electricity
2004,33.73,66.27,18.87,37.07,55.94,Ember yearly electricity
2005,32.37,67.63,18.31,38.26,56.57,Ember yearly electricity
2006,36.03,63.97,20.46,36.32,56.78,Ember yearly electricity
2007,31.6,68.4,18.84,40.78,59.62,Ember yearly electricity
2008,33.9,66.1,20.62,40.2,60.82,Ember yearly electricity
2009,32.58,67.43,20.17,41.75,61.92,Ember yearly electricity
2010,26.3,73.7,17.81,49.92,67.73,Ember yearly electricity
2011,28.66,71.34,19.82,49.33,69.15,Ember yearly electricity
2012,28.45,71.55,20.74,52.15,72.89,Ember yearly electricity
2013,26.41,73.59,19.87,55.36,75.23,Ember yearly electricity
2014,25.61,74.39,19.78,57.45,77.23,Ember yearly electricity
2015,25.41,74.59,20.94,61.46,82.4,Ember yearly electricity
2016,24.21,75.79,21.98,68.81,90.79,Ember yearly electricity
2017,24.56,75.44,23.17,71.19,94.36,Ember yearly electricity
2018,23.37,76.63,23.31,76.43,99.74,Ember yearly electricity
2019,20.79,79.21,22.04,83.99,106.03,Ember yearly electricity
2020,21.23,78.77,21.6,80.15,101.75,Ember yearly electricity
2021,22.13,77.87,23.41,82.35,105.76,Ember yearly electricity
2022,22.16,77.84,24.72,86.83,111.55,Ember yearly electricity
2023,21.43,78.58,25.01,91.72,116.73,Ember yearly electricity
2024,20.47,79.53,25.42,98.75,124.17,Ember yearly electricity
2025,23.32,76.68,28.71,94.42,123.13,Ember yearly electricity
