year,month,status,source_slug
2019,1,not found,
2019,2,not found,
2019,3,not found,
2019,4,not found,
2019,5,not found,
2019,6,not found,
2019,7,not found,
2019,8,not found,
2019,9,not found,
2019,10,not found,
2019,11,not found,
2019,12,not found,
2020,1,not found,
2020,2,not found,
2020,3,not found,
2020,4,not found,
2020,5,not found,
2020,6,not found,
2020,7,not found,
2020,8,not found,
2020,9,not found,
2020,10,not found,
2020,11,not found,
2020,12,not found,
2021,1,not found,
2021,2,not found,
2021,3,not found,
2021,4,not found,
2021,5,not found,
2021,6,not found,
2021,7,not found,
2021,8,not found,
2021,9,not found,
2021,10,not found,
2021,11,not found,
2021,12,not found,
2022,1,not found,
2022,2,not found,
2022,3,not found,
2022,4,not found,
2022,5,not found,
2022,6,not found,
2022,7,not found,
2022,8,not found,
2022,9,not found,
2022,10,not found,
2022,11,not found,
2022,12,not found,
2023,1,not found,
2023,2,not found,
2023,3,not found,
2023,4,not found,
2023,5,not found,
2023,6,not found,
2023,7,not found,
2023,8,not found,
2023,9,not found,
2023,10,not found,
2023,11,not found,
2023,12,not found,
2024,1,not found,
2024,2,not found,
2024,3,not found,
2024,4,not found,
2024,5,not found,
2024,6,not found,
2024,7,not found,
2024,8,not found,
2024,9,not found,
2024,10,not found,
2024,11,not found,
2024,12,not found,
2025,1,not found,
2025,2,not found,
2025,3,found,higher-rates-march-2025
2025,4,found,higher-rates-april-2025
2025,5,found,lower-rates-may-2025
2025,6,not found,
2025,7,found,higher-rates-july-2025
2025,8,found,higher-rates-august-2025
2025,9,found,lower-rates-september-2025
2025,10,not found,
2025,11,found,higher-rates-november-2025
2025,12,found,lower-rates-december-2025
2026,1,found,lower-rates-january-2026
2026,2,found,higher-residential-rates-february-2026
2026,3,found,higher-residential-rates-march-2026
2026,4,found,higher-residential-rates-april-2026
2026,5,not found,
2026,6,found,higher-residential-rates-june-2026
2026,7,found,higher-residential-rates-july-2026
2026,8,found,lower-rates-august-2026
2026,9,not found,
