year,month,rate_php_per_kwh,source_slug,source
2025,3,12.2901,higher-rates-march-2025,Meralco rate advisory
2025,4,13.0127,higher-rates-april-2025,Meralco rate advisory
2025,5,12.2628,lower-rates-may-2025,Meralco rate advisory
2025,7,12.6435,higher-rates-july-2025,Meralco rate advisory
2025,8,13.2703,higher-rates-august-2025,Meralco rate advisory
2025,9,13.0851,lower-rates-september-2025,Meralco rate advisory
2025,11,13.4702,higher-rates-november-2025,Meralco rate advisory
2025,12,13.1145,lower-rates-december-2025,Meralco rate advisory
2026,1,12.9508,lower-rates-january-2026,Meralco rate advisory
2026,2,13.1734,higher-residential-rates-february-2026,Meralco rate advisory
2026,3,13.8161,higher-residential-rates-march-2026,Meralco rate advisory
2026,4,14.3496,higher-residential-rates-april-2026,Meralco rate advisory
2026,6,14.4833,higher-residential-rates-june-2026,Meralco rate advisory
2026,7,14.8261,higher-residential-rates-july-2026,Meralco rate advisory
2026,8,14.7833,lower-rates-august-2026,Meralco rate advisory
