area,year,coal_share_pct,source_dataset
ASEAN,2000,20.073,Ember yearly electricity
ASEAN,2001,21.294,Ember yearly electricity
ASEAN,2002,21.568,Ember yearly electricity
ASEAN,2003,22.258,Ember yearly electricity
ASEAN,2004,23.159,Ember yearly electricity
ASEAN,2005,23.825,Ember yearly electricity
ASEAN,2006,25.235,Ember yearly electricity
ASEAN,2007,26.892,Ember yearly electricity
ASEAN,2008,25.172,Ember yearly electricity
ASEAN,2009,26.064,Ember yearly electricity
ASEAN,2010,27.297,Ember yearly electricity
ASEAN,2011,29.45,Ember yearly electricity
ASEAN,2012,31.252,Ember yearly electricity
ASEAN,2013,31.479,Ember yearly electricity
ASEAN,2014,32.703,Ember yearly electricity
ASEAN,2015,35.398,Ember yearly electricity
ASEAN,2016,37.579,Ember yearly electricity
ASEAN,2017,38.071,Ember yearly electricity
ASEAN,2018,40.522,Ember yearly electricity
ASEAN,2019,43.068,Ember yearly electricity
ASEAN,2020,45.416,Ember yearly electricity
ASEAN,2021,43.639,Ember yearly electricity
ASEAN,2022,41.613,Ember yearly electricity
ASEAN,2023,43.607,Ember yearly electricity
ASEAN,2024,44.641,Ember yearly electricity
ASEAN,2025,44.517,Ember yearly electricity
Indonesia,2000,34.68,Ember yearly electricity
Indonesia,2001,35.522,Ember yearly electricity
Indonesia,2002,37.978,Ember yearly electricity
Indonesia,2003,39.577,Ember yearly electricity
Indonesia,2004,38.636,Ember yearly electricity
Indonesia,2005,39.002,Ember yearly electricity
Indonesia,2006,42.514,Ember yearly electricity
Indonesia,2007,43.059,Ember yearly electricity
Indonesia,2008,39.442,Ember yearly electricity
Indonesia,2009,40.468,Ember yearly electricity
Indonesia,2010,38.567,Ember yearly electricity
Indonesia,2011,42.261,Ember yearly electricity
Indonesia,2012,48.895,Ember yearly electricity
Indonesia,2013,49.405,Ember yearly electricity
Indonesia,2014,50.32,Ember yearly electricity
Indonesia,2015,51.241,Ember yearly electricity
Indonesia,2016,52.565,Ember yearly electricity
Indonesia,2017,55.66,Ember yearly electricity
Indonesia,2018,56.383,Ember yearly electricity
Indonesia,2019,59.061,Ember yearly electricity
Indonesia,2020,61.98,Ember yearly electricity
Indonesia,2021,61.404,Ember yearly electricity
Indonesia,2022,61.555,Ember yearly electricity
Indonesia,2023,61.831,Ember yearly electricity
Indonesia,2024,61.482,Ember yearly electricity
Malaysia,1985,0.0,Ember yearly electricity
Malaysia,1986,0.0,Ember yearly electricity
Malaysia,1987,0.0,Ember yearly electricity
Malaysia,1988,1.343,Ember yearly electricity
Malaysia,1989,10.088,Ember yearly electricity
Malaysia,1990,12.728,Ember yearly electricity
Malaysia,1991,13.07,Ember yearly electricity
Malaysia,1992,12.233,Ember yearly electricity
Malaysia,1993,11.124,Ember yearly electricity
Malaysia,1994,10.264,Ember yearly electricity
Malaysia,1995,8.523,Ember yearly electricity
Malaysia,1996,7.828,Ember yearly electricity
Malaysia,1997,4.104,Ember yearly electricity
Malaysia,1998,5.691,Ember yearly electricity
Malaysia,1999,6.63,Ember yearly electricity
Malaysia,2000,5.78,Ember yearly electricity
Malaysia,2001,8.234,Ember yearly electricity
Malaysia,2002,11.821,Ember yearly electricity
Malaysia,2003,16.133,Ember yearly electricity
Malaysia,2004,23.558,Ember yearly electricity
Malaysia,2005,25.549,Ember yearly electricity
Malaysia,2006,25.608,Ember yearly electricity
Malaysia,2007,28.429,Ember yearly electricity
Malaysia,2008,27.26,Ember yearly electricity
Malaysia,2009,32.418,Ember yearly electricity
Malaysia,2010,39.507,Ember yearly electricity
Malaysia,2011,41.158,Ember yearly electricity
Malaysia,2012,41.483,Ember yearly electricity
Malaysia,2013,38.065,Ember yearly electricity
Malaysia,2014,37.859,Ember yearly electricity
Malaysia,2015,42.282,Ember yearly electricity
Malaysia,2016,44.143,Ember yearly electricity
Malaysia,2017,42.872,Ember yearly electricity
Malaysia,2018,45.31,Ember yearly electricity
Malaysia,2019,42.807,Ember yearly electricity
Malaysia,2020,51.078,Ember yearly electricity
Malaysia,2021,45.306,Ember yearly electricity
Malaysia,2022,42.357,Ember yearly electricity
Malaysia,2023,43.344,Ember yearly electricity
Malaysia,2024,43.055,Ember yearly electricity
Malaysia,2025,44.557,Ember yearly electricity
Philippines,2000,36.777,Ember yearly electricity
Philippines,2001,39.936,Ember yearly electricity
Philippines,2002,33.285,Ember yearly electricity
Philippines,2003,28.221,Ember yearly electricity
Philippines,2004,28.942,Ember yearly electricity
Philippines,2005,26.975,Ember yearly electricity
Philippines,2006,26.928,Ember yearly electricity
Philippines,2007,28.246,Ember yearly electricity
Philippines,2008,25.896,Ember yearly electricity
Philippines,2009,26.615,Ember yearly electricity
Philippines,2010,34.401,Ember yearly electricity
Philippines,2011,36.645,Ember yearly electricity
Philippines,2012,38.771,Ember yearly electricity
Philippines,2013,42.643,Ember yearly electricity
Philippines,2014,42.794,Ember yearly electricity
Philippines,2015,44.527,Ember yearly electricity
Philippines,2016,47.692,Ember yearly electricity
Philippines,2017,49.65,Ember yearly electricity
Philippines,2018,52.065,Ember yearly electricity
Philippines,2019,54.598,Ember yearly electricity
Philippines,2020,57.179,Ember yearly electricity
Philippines,2021,58.671,Ember yearly electricity
Philippines,2022,59.552,Ember yearly electricity
Philippines,2023,63.18,Ember yearly electricity
Philippines,2024,63.912,Ember yearly electricity
Philippines,2025,58.662,Ember yearly electricity
Singapore,2000,0.0,Ember yearly electricity
Singapore,2001,0.0,Ember yearly electricity
Singapore,2002,0.0,Ember yearly electricity
Singapore,2003,0.0,Ember yearly electricity
Singapore,2004,0.0,Ember yearly electricity
Singapore,2005,0.0,Ember yearly electricity
Singapore,2006,0.0,Ember yearly electricity
Singapore,2007,0.0,Ember yearly electricity
Singapore,2008,0.0,Ember yearly electricity
Singapore,2009,0.0,Ember yearly electricity
Singapore,2010,0.0,Ember yearly electricity
Singapore,2011,0.0,Ember yearly electricity
Singapore,2012,0.0,Ember yearly electricity
Singapore,2013,0.0,Ember yearly electricity
Singapore,2014,1.095,Ember yearly electricity
Singapore,2015,1.193,Ember yearly electricity
Singapore,2016,1.202,Ember yearly electricity
Singapore,2017,1.301,Ember yearly electricity
Singapore,2018,1.303,Ember yearly electricity
Singapore,2019,1.201,Ember yearly electricity
Singapore,2020,0.999,Ember yearly electricity
Singapore,2021,1.201,Ember yearly electricity
Singapore,2022,1.001,Ember yearly electricity
Singapore,2023,0.994,Ember yearly electricity
Singapore,2024,0.956,Ember yearly electricity
Singapore,2025,0.948,Ember yearly electricity
Thailand,1985,23.057,Ember yearly electricity
Thailand,1986,22.456,Ember yearly electricity
Thailand,1987,23.451,Ember yearly electricity
Thailand,1988,20.975,Ember yearly electricity
Thailand,1989,21.071,Ember yearly electricity
Thailand,1990,25.045,Ember yearly electricity
Thailand,1991,27.508,Ember yearly electricity
Thailand,1992,25.986,Ember yearly electricity
Thailand,1993,21.317,Ember yearly electricity
Thailand,1994,19.876,Ember yearly electricity
Thailand,1995,19.027,Ember yearly electricity
Thailand,1996,20.207,Ember yearly electricity
Thailand,1997,20.537,Ember yearly electricity
Thailand,1998,18.53,Ember yearly electricity
Thailand,1999,18.435,Ember yearly electricity
Thailand,2000,19.054,Ember yearly electricity
Thailand,2001,20.101,Ember yearly electricity
Thailand,2002,17.789,Ember yearly electricity
Thailand,2003,16.647,Ember yearly electricity
Thailand,2004,16.434,Ember yearly electricity
Thailand,2005,15.802,Ember yearly electricity
Thailand,2006,17.89,Ember yearly electricity
Thailand,2007,21.666,Ember yearly electricity
Thailand,2008,21.205,Ember yearly electricity
Thailand,2009,20.432,Ember yearly electricity
Thailand,2010,18.887,Ember yearly electricity
Thailand,2011,20.685,Ember yearly electricity
Thailand,2012,20.466,Ember yearly electricity
Thailand,2013,20.962,Ember yearly electricity
Thailand,2014,21.622,Ember yearly electricity
Thailand,2015,19.446,Ember yearly electricity
Thailand,2016,20.637,Ember yearly electricity
Thailand,2017,20.217,Ember yearly electricity
Thailand,2018,20.14,Ember yearly electricity
Thailand,2019,19.211,Ember yearly electricity
Thailand,2020,20.864,Ember yearly electricity
Thailand,2021,20.447,Ember yearly electricity
Thailand,2022,19.693,Ember yearly electricity
Thailand,2023,15.975,Ember yearly electricity
Thailand,2024,16.67,Ember yearly electricity
Thailand,2025,17.828,Ember yearly electricity
Viet Nam,1985,45.365,Ember yearly electricity
Viet Nam,1986,48.014,Ember yearly electricity
Viet Nam,1987,50.66,Ember yearly electricity
Viet Nam,1988,50.737,Ember yearly electricity
Viet Nam,1989,35.045,Ember yearly electricity
Viet Nam,1990,23.041,Ember yearly electricity
Viet Nam,1991,14.859,Ember yearly electricity
Viet Nam,1992,8.754,Ember yearly electricity
Viet Nam,1993,5.998,Ember yearly electricity
Viet Nam,1994,8.713,Ember yearly electricity
Viet Nam,1995,13.798,Ember yearly electricity
Viet Nam,1996,14.041,Ember yearly electricity
Viet Nam,1997,17.398,Ember yearly electricity
