decile,households,min_income,max_income,median_income,mean_income,income_share_pct,source
1,4155,11285.0,71595.0,56072.0,53538.0,2.16,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
2,4155,71597.0,94766.0,83792.0,83583.0,3.38,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
3,4155,94769.0,115222.0,104897.0,105023.0,4.24,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
4,4155,115225.0,137337.0,125740.0,125986.0,5.09,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
5,4154,137347.0,164084.0,149841.0,150195.0,6.07,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
6,4154,164090.0,200798.0,180600.0,181121.0,7.32,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
7,4154,200819.0,255230.0,224790.0,225936.0,9.13,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
8,4154,255265.0,338031.0,291153.0,293093.0,11.84,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
9,4154,338036.0,502030.0,401339.0,407464.0,16.46,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
10,4154,502035.0,11815988.0,692464.0,849767.0,34.32,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
