decile,median_food_share_pct,median_food,median_income,source
1,59.62,31442.0,56072.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
2,56.57,46936.0,83792.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
3,53.68,56245.0,104897.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
4,50.36,63245.0,125740.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
5,47.14,70878.0,149841.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
6,44.11,79568.0,180600.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
7,39.91,89930.0,224790.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
8,35.73,103680.0,291153.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
9,30.05,121477.0,401339.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
10,21.36,158822.0,692464.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
