region,households,median_income,median_food_share_pct,source
NCR,4130,312275.0,36.23,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
IVA - CALABARZON,4162,227757.0,41.92,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
III - Central Luzon,3237,220208.0,40.78,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
CAR,1725,188580.0,36.78,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
I - Ilocos Region,2348,172110.0,40.61,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
II - Cagayan Valley,2219,167560.0,39.16,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
XI - Davao Region,2446,159647.0,43.22,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
VII - Central Visayas,2541,155566.0,44.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
VI - Western Visayas,2851,147370.0,47.33,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
IVB - MIMAROPA,1249,140483.0,43.19,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
V - Bicol Region,2472,134571.0,52.27,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
Caraga,1782,132283.0,46.97,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
X - Northern Mindanao,1887,131806.0,39.29,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
IX - Zasmboanga Peninsula,1788,126567.0,45.83,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
VIII - Eastern Visayas,2337,123837.0,47.78,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
XII - SOCCSKSARGEN,2122,120362.0,51.57,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
 ARMM,2248,111394.0,54.32,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
