category,median_poorest_decile,median_richest_decile,source
housing and water,8838.0,92430.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
restaurants and hotels,920.0,36400.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
miscellaneous,2046.0,35409.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
bread and cereals,12764.0,30691.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
transport,1218.0,30585.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
meat,1780.0,22929.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
rice,8420.0,19916.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
fish and seafood,4094.0,15294.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
communication,78.0,14760.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
clothing and footwear,860.0,12327.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
education,0,12190.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
special occasions,0,10000.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
medical care,246.0,8249.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
vegetables,2420.0,7024.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
fruit,820.0,4755.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
alcohol,0,480.0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
tobacco,90.0,0,PSA FIES 2015 via Kaggle (grosvenpaul/family-income-and-expenditure)
