commodity,category,year,median_php_per_kg,median_usd_per_kg,markets,observations,source
Anchovies,"meat, fish and eggs",2020,118.0,2.39,62,449,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Anchovies,"meat, fish and eggs",2021,132.69,2.71,70,834,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Anchovies,"meat, fish and eggs",2022,143.33,2.65,64,760,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Anchovies,"meat, fish and eggs",2023,153.33,2.76,64,763,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Anchovies,"meat, fish and eggs",2024,150.0,2.595,64,764,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Anchovies,"meat, fish and eggs",2025,150.0,2.62,64,764,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Anchovies,"meat, fish and eggs",2026,163.33,2.72,64,377,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (lakatan),vegetables and fruits,2020,70.0,1.44,73,574,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (lakatan),vegetables and fruits,2021,70.0,1.42,55,653,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (lakatan),vegetables and fruits,2022,63.75,1.16,65,773,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (lakatan),vegetables and fruits,2023,75.63,1.36,65,771,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (lakatan),vegetables and fruits,2024,88.75,1.54,65,772,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (lakatan),vegetables and fruits,2025,93.75,1.63,66,775,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (lakatan),vegetables and fruits,2026,96.04,1.6,66,388,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (latundan),vegetables and fruits,2020,46.46,0.95,77,605,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (latundan),vegetables and fruits,2021,49.25,1.0,43,514,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (latundan),vegetables and fruits,2022,41.25,0.76,52,617,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (latundan),vegetables and fruits,2023,44.38,0.79,52,618,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (latundan),vegetables and fruits,2024,48.54,0.84,52,618,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (latundan),vegetables and fruits,2025,53.75,0.93,55,642,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (latundan),vegetables and fruits,2026,54.5,0.91,55,327,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (saba),vegetables and fruits,2020,35.54,0.73,80,627,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (saba),vegetables and fruits,2021,36.88,0.75,18,215,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (saba),vegetables and fruits,2022,35.0,0.64,25,298,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (saba),vegetables and fruits,2023,36.25,0.65,25,298,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (saba),vegetables and fruits,2024,35.63,0.625,25,296,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (saba),vegetables and fruits,2025,40.0,0.69,25,299,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (saba),vegetables and fruits,2026,46.25,0.78,25,149,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Beans (green, fresh)",vegetables and fruits,2020,77.92,1.57,76,599,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Beans (green, fresh)",vegetables and fruits,2021,85.34,1.73,40,473,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Beans (green, fresh)",vegetables and fruits,2022,93.33,1.7,34,404,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Beans (green, fresh)",vegetables and fruits,2023,105.54,1.885,34,402,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Beans (green, fresh)",vegetables and fruits,2024,118.75,2.07,34,403,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
