commodity,region,year,median_php_per_kg,markets,observations,source
Cabbage,Region VI,2025,127.71,2,24,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region V,2025,127.38,5,59,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region IV-B,2025,121.88,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region VIII,2025,117.5,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Autonomous region in Muslim Mindanao,2025,106.25,5,55,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region IV-A,2025,100.0,5,50,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region IX,2025,97.5,4,45,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,National Capital region,2025,93.35,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region X,2025,92.94,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region VII,2025,92.88,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region XIII,2025,87.5,5,51,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region III,2025,85.5,6,64,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region XI,2025,75.94,6,62,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region XII,2025,75.63,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region I,2025,73.13,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Region II,2025,69.69,3,36,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,Cordillera Administrative region,2025,69.38,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region I,2025,231.88,4,46,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Cordillera Administrative region,2025,231.25,6,71,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Autonomous region in Muslim Mindanao,2025,231.03,2,24,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region IV-B,2025,230.63,5,58,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region X,2025,223.44,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region V,2025,221.69,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region IV-A,2025,218.63,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region XIII,2025,216.88,3,36,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region II,2025,214.38,4,48,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region IX,2025,210.83,3,36,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region VIII,2025,208.75,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region VI,2025,207.88,5,59,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region XII,2025,207.26,3,36,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region VII,2025,206.57,2,24,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region III,2025,204.25,7,84,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",Region XI,2025,201.25,4,47,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)",National Capital region,2025,200.47,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region IV-B,2025,378.75,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region IV-A,2025,378.0,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region III,2025,370.88,7,84,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),National Capital region,2025,370.18,1,12,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region V,2025,364.38,6,72,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region XIII,2025,363.75,5,60,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (pork),Region XI,2025,361.67,5,59,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
